sequence_id	M300554.lib1	M300555.lib1	M300556.lib1	M300557.lib1	M300558.lib1	M300559.lib1	M300560.lib1	M300561.lib1	M300562.lib1	M300563.lib1	M300564.lib1	M300565.lib1	M300566.lib1	M300567.lib1	M300568.lib1	M300569.lib1	M300570.lib1	M300571.lib1	M300572.lib1	M300573.lib1	M300574.lib1	M300575.lib1	M300576.lib1	M300577.lib1	M300578.lib1	M300579.lib1	M300580.lib1	M300581.lib1	M300582.lib1	M300583.lib1	M300584.lib1	M300585.lib1	M300586.lib1	M300587.lib1	M300588.lib1	M300589.lib1	M300590.lib1	M300591.lib1	M300592.lib1	M300593.lib1	M300594.lib1	M300595.lib1	M300596.lib1	M300597.lib1	M300598.lib1	M300599.lib1	M300600.lib1	M300601.lib1	M300602.lib1	M300603.lib1	M300604.lib1	M300605.lib1	M300606.lib1	M300607.lib1	M300608.lib1	M300609.lib1	M300610.lib1	M300611.lib1	M300612.lib1	M300613.lib1	M300614.lib1	M300615.lib1	M300616.lib1	M300617.lib1	M300618.lib1	M300619.lib1	M300620.lib1	M300621.lib1	M300622.lib1	M300623.lib1	M300624.lib1	M300625.lib1	M300626.lib1	M300627.lib1	M300628.lib1	M300629.lib1	M300630.lib1	M300631.lib1	M300632.lib1	M300633.lib1	M300634.lib1	M300635.lib1	M300636.lib1	M300637.lib1	M300638.lib1	M300639.lib1	M300640.lib1	M300641.lib1	M300642.lib1	M300643.lib1	M300644.lib1	M300645.lib1	M300646.lib1	M300647.lib1	M300648.lib1	M300649.lib1
D300418:bin_000013	5371	0	335	3326	0	5483	6390	4117	4289	4868	402	0	4119	5150	0	4305	4694	4093	1276	0	5016	0	5652	5590	7044	0	6406	2478	4149	5804	6388	0	0	0	6898	3915	3166	0	5121	5421	6291	5713	3956	6307	5851	6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	92678	1071	7609	95462	0	112027	115760	105783	101670	116934	15539	0	90632	102818	0	76401	96744	93756	47261	132	114372	121	103192	95092	111808	1605	111324	69575	56114	92029	114591	0	0	0	111570	106958	90229	825	108898	88133	94537	108568	98135	119573	102370	112628	0	0	158	0	0	0	2896	0	0	101	0	0	205	0	0	0	0	1959	0	0	0	0	98	0	0	0	0	0	0	184	0	0	125	147	150	0	150	0	0	184	0	0	0	0	0	0	0	560	0	0
D300432:bin_000001	12420	1111	3023	14662	0	14681	12778	12444	14476	14802	3813	0	13105	12556	0	12530	13473	11427	10408	0	15351	0	12266	12054	11067	474	10582	11466	9556	11125	12978	0	0	0	12410	11707	12560	425	11496	11708	10037	12470	12409	13444	11869	12872	0	0	0	0	0	0	394	0	150	0	0	0	0	0	0	0	0	229	0	0	0	0	175	0	0	0	0	0	0	0	0	150	0	150	150	0	0	0	0	438	0	0	0	0	150	0	0	267	0	0
D300440:bin_000012	106312	15270	23370	93096	676	119045	107416	100003	107772	114341	38073	0	112747	119490	0	117999	138998	105122	76098	0	98042	0	135267	105912	117847	3689	107581	91223	82044	101330	131044	0	0	0	100613	103273	100573	0	126646	104947	100267	136182	100705	104501	118085	117895	0	0	0	569	0	0	5936	0	0	611	0	0	0	0	0	0	0	2704	0	0	0	0	253	0	0	0	0	0	0	0	585	0	212	710	0	0	0	0	236	3955	167	0	0	0	1370	0	0	0	0	146
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	135	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300443:bin_000002	72519	150	1117	19265	0	73724	21905	22762	83450	127997	4132	0	59002	19972	0	20712	21800	18946	22289	0	24508	0	15708	25704	57294	150	180127	15431	12974	51587	21583	0	0	0	22091	249043	22132	0	96827	23734	18794	21364	21705	19679	22427	17434	0	0	428	226	0	203	516	0	279	310	315	0	229	148	0	0	231	398	0	437	0	0	831	177	0	0	0	216	237	278	223	251	0	740	290	0	308	0	463	315	157	0	0	0	284	311	0	374	207	0
D300444:bin_000010	2834460	17428	11843	2055855	0	2847336	2808924	2833676	2805693	2871587	193844	0	2695808	2726222	0	2712417	2821668	2644509	1321896	301	2659543	742	2683867	2824856	2697973	955	2803265	2094759	2218627	2676626	2829622	0	0	0	2704034	2872973	2593338	7150	2843052	2676560	2732629	2872804	2800731	2802612	2805203	2872006	0	0	0	0	0	0	25860	0	0	0	300	0	0	0	0	279	0	5110	0	0	0	1140	2725	0	0	0	0	0	0	148	0	225	1089	0	150	0	0	0	237	1570	300	0	0	0	300	0	0	0	0	0
D300459:bin_000001	5721	0	0	4351	566	6441	8092	5520	6831	5823	255	0	4014	5600	0	5813	4319	5868	2189	3476	4066	0	6498	4598	5470	469	4269	2738	3294	4732	5605	0	0	0	5824	4943	4578	0	6806	4303	5502	4786	6344	5931	5168	6062	0	0	0	0	0	129	384	0	0	160	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	174	0	0	0	0	310	0	0	0	0	0
D300463:bin_000012	337659	27155	25306	213180	480	328761	332645	299935	314190	356916	35510	0	263665	331366	0	303345	301771	294180	135098	191	279493	0	293805	318455	340033	5027	325415	184902	209015	292524	351380	0	0	0	331841	286512	273217	676	321296	315893	328925	330149	305058	295196	312312	357810	0	0	0	0	0	0	8236	0	0	0	0	0	0	0	0	0	0	2831	0	0	0	0	118	0	0	0	0	0	0	0	1736	194	230	150	0	0	0	0	0	2813	0	0	0	0	244	0	0	0	0	0
D300464:bin_000017	2475847	350767	622319	2462231	709	2474924	2472277	2473364	2466961	2480803	1365973	677	2468106	2469089	0	2468830	2469091	2463447	2398685	3755	2468563	3431	2466966	2471081	2476629	67482	2474650	2452757	2443723	2470225	2476276	1349	784	0	2474933	2471853	2461183	18844	2474217	2473915	2476403	2476835	2470319	2476698	2475460	2478817	0	989	601	0	638	0	220291	184	0	150	140	0	0	155	0	914	368	214019	865	0	0	1198	19581	450	0	484	0	150	194	300	182	348	5003	144	505	0	409	0	0	5519	0	186	1779	0	460	113	0	0	150	807
