sequence_id	M300650.lib1	M300650.lib2	M300651.lib1	M300651.lib2	M300652.lib1	M300652.lib2	M300653.lib1	M300653.lib2	M300654.lib1	M300654.lib2	M300655.lib1	M300655.lib2	M300656.lib1	M300656.lib2	M300657.lib1	M300657.lib2	M300658.lib1	M300658.lib2	M300659.lib3	M300659.lib4	M300660.lib1	M300660.lib2	M300661.lib1	M300661.lib2	M300662.lib1	M300662.lib2	M300663.lib1	M300663.lib2	M300664.lib1	M300664.lib2	M300665.lib1	M300665.lib2	M300666.lib1	M300666.lib2	M300667.lib1	M300667.lib2	M300668.lib1	M300668.lib2	M300669.lib1	M300669.lib2	M300670.lib1	M300670.lib2	M300671.lib1	M300671.lib2	M300672.lib1	M300672.lib2	M300673.lib1	M300673.lib2	M300674.lib1	M300674.lib2	M300675.lib1	M300675.lib2	M300676.lib1	M300676.lib2	M300677.lib1	M300677.lib2	M300678.lib1	M300678.lib2	M300679.lib1	M300679.lib2	M300680.lib1	M300680.lib2	M300681.lib1	M300681.lib2	M300682.lib1	M300682.lib2	M300683.lib1	M300683.lib2	M300684.lib1	M300684.lib2	M300685.lib1	M300685.lib2	M300686.lib1	M300686.lib2	M300687.lib1	M300687.lib2	M300688.lib1	M300688.lib2	M300689.lib1	M300689.lib2	M300690.lib1	M300690.lib2	M300691.lib1	M300691.lib2	M300692.lib1	M300692.lib2	M300693.lib1	M300693.lib2	M300694.lib1	M300694.lib2	M300695.lib1	M300695.lib2	M300696.lib1	M300696.lib2	M300697.lib1	M300697.lib2	M300698.lib1	M300698.lib2	M300699.lib1	M300699.lib2	M300700.lib1	M300700.lib2	M300701.lib1	M300701.lib2	M300702.lib2	M300703.lib2	Undetermined.Underermined
D300418:bin_000013	0	0	1225	3767	1843	5865	0	0	255	5258	0	0	0	120	440	1049	2264	4128	3597	7479	0	0	2214	4649	2369	4584	0	0	0	0	0	0	2288	6412	0	0	1877	6039	1316	5057	2062	4133	1575	4112	1752	3577	795	2963	1713	4023	2151	6649	1032	3091	0	349	3100	6778	1947	4732	2168	6028	0	0	0	136	716	3042	674	3939	0	0	0	0	1882	3884	856	3403	1357	2963	1545	4018	2363	7011	2828	5724	0	0	1083	2136	2199	4659	1884	4703	1425	2549	0	0	0	0	0	0	0	0	0	0	8147
D300429:bin_000001	0	0	37576	84676	39305	106445	0	0	13140	78158	0	0	845	2554	3238	11441	39750	92562	60967	121313	0	0	34050	76062	37871	93038	0	0	513	2851	0	1419	45389	119641	0	0	41972	111815	38040	85093	25068	60324	37242	94641	33765	72650	39386	88200	47901	113202	44198	96657	21043	72958	2538	21988	52759	112272	47113	105620	42797	111589	270	371	1860	8270	34514	76477	39074	88334	0	553	137	300	41672	99362	32913	80555	39761	94717	32770	84408	52438	113010	51730	109161	0	0	17100	60934	43246	93239	29046	86359	36918	84860	102	118	0	154	0	244	0	0	0	0	134063
D300432:bin_000001	0	0	9055	11026	8784	12923	184	331	4738	10452	0	0	792	1635	1674	6087	8857	9602	9916	15544	0	342	7906	11220	7650	10390	0	0	425	1658	289	835	8933	13453	0	0	7402	12484	9803	16305	6414	9544	7983	11782	8232	11350	7964	10922	9810	14565	8854	12736	7174	13666	1222	6107	9173	13830	7435	10606	7258	12158	0	0	353	1601	7667	12793	7568	12670	0	193	0	0	7963	10174	7754	10355	8528	12581	8239	14314	9649	15881	9774	15772	0	0	5372	10821	7761	11801	6973	11436	7186	10394	150	335	0	431	150	450	0	559	0	0	15043
D300440:bin_000012	0	0	75354	114322	68509	99602	474	2553	49471	106682	0	0	5051	15590	52396	74821	65572	101462	79073	108885	0	0	72162	102135	70435	96109	0	0	22483	50171	6240	20260	77426	127124	0	0	69648	105443	71163	104325	62616	83087	75468	120485	73048	91631	65246	93920	78035	120813	82315	136424	60380	95122	11048	54714	76583	114360	68339	107426	72518	125462	610	710	3967	9741	71625	100221	67673	93656	124	2034	388	1415	68847	110633	74834	115833	65656	92693	71199	101996	81285	121670	74899	100165	0	0	43726	90171	73068	102231	66181	106080	58793	91058	249	1007	150	1826	810	4711	0	3056	0	0	141350
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
D300443:bin_000002	0	0	22369	50814	13777	24890	0	300	6952	32232	0	0	286	578	8520	15279	10652	18617	10525	21024	0	0	12222	21556	8055	15228	0	0	1759	3120	2264	4251	12852	26472	0	0	18084	82547	8849	22333	37548	87196	5923	13664	6443	12233	5550	14696	16009	43836	11221	21186	9477	21706	755	4612	7813	16279	6785	25414	13858	46158	0	0	303	2052	7888	15520	7178	17472	0	0	267	268	8083	15447	7249	15197	7139	15029	14425	25412	126269	606345	33594	101579	0	0	2487	11760	6936	12139	9908	36590	6139	16607	428	1158	309	1322	315	442	294	314	0	0	150734
D300444:bin_000010	0	0	1199468	2485185	1084061	2649828	0	0	567880	2671346	171	171	15923	35831	91211	197340	900626	2069398	2086537	2893217	0	0	944950	2333149	1505317	2659921	0	0	6715	19503	9979	23028	1444993	2827231	0	0	1335248	2803707	1400975	2708903	1277982	2195374	1090654	2478733	1553130	2596178	1199296	2386313	1461529	2805552	1712838	2811484	942189	2593680	96651	713410	1797744	2848877	1283374	2739857	1268870	2786425	310146	652442	51509	132023	1422607	2583456	1021734	2276560	2404	15573	1617	4489	1299023	2651512	1192220	2420131	1150972	2419605	1028394	2368569	1901816	2852261	1609126	2694837	0	0	492459	1975768	1537089	2518538	1175524	2741002	888642	2237127	559	14448	1585	17576	6269	48818	3488	27157	0	0	2914788
D300459:bin_000001	0	0	612	4169	860	4391	0	0	750	4431	0	0	0	0	0	0	1667	5580	3046	7625	0	132	1630	4566	1090	4840	0	114	1963	5745	0	0	745	6933	300	301	907	3424	1440	3723	1077	3123	1880	5104	657	5440	1874	2383	497	4592	2411	6207	373	3296	154	215	1447	6390	1075	5309	1306	6191	0	0	176	176	1525	3605	2381	4833	0	347	0	300	2477	5236	1541	5254	2089	5062	474	3478	2049	6572	2331	5255	0	0	0	3632	2661	4862	1262	4506	622	2506	0	0	0	0	0	0	0	0	0	0	9583
D300463:bin_000012	0	0	126370	266935	93033	266471	0	148	65385	300651	0	0	7902	17696	35743	57742	96865	222142	166192	363574	0	0	115104	278474	140381	292385	0	0	11835	28668	3966	14179	146529	355920	0	0	133724	327889	135617	300148	117967	216038	131202	290306	119718	242020	111584	228114	135615	319860	177568	349047	86558	239091	9964	81028	157169	340755	145752	335051	134564	329787	0	362	7087	20274	108741	234409	122639	259692	0	1816	367	1393	127893	285621	137438	282554	103462	215394	108508	253698	182799	365372	167638	325831	0	0	69384	212174	148570	280828	106967	297328	87274	222852	150	1628	247	1306	300	4276	367	3498	0	0	400768
D300464:bin_000017	0	229	2363722	2462879	2309318	2461716	33856	84309	1634410	2465893	154	154	229110	518826	534954	1057655	2324469	2457149	2421873	2480614	0	468	2340501	2467741	2406544	2468069	190	190	20507	75596	51115	144248	2406278	2476244	0	180	2351237	2471520	2356655	2464736	2218563	2441445	2352028	2460604	2369711	2457941	2326758	2451625	2400962	2475700	2413614	2476100	2174377	2455177	389548	1866666	2414240	2479394	2380426	2471526	2380045	2476394	4564	18514	306132	779871	2337724	2456543	2276127	2455434	13824	101987	64735	126963	2383865	2465601	2393919	2463150	2360907	2459165	2287630	2457724	2428056	2482100	2396106	2471472	0	110	1877584	2443766	2399845	2465149	2314253	2471920	2197260	2450825	997	7499	1361	7160	2035	24291	1111	7041	0	0	2489321
