sequence_id	M300650.lib1	M300650.lib2	M300651.lib1	M300651.lib2	M300652.lib1	M300652.lib2	M300653.lib1	M300653.lib2	M300654.lib1	M300654.lib2	M300655.lib1	M300655.lib2	M300656.lib1	M300656.lib2	M300657.lib1	M300657.lib2	M300658.lib1	M300658.lib2	M300659.lib3	M300659.lib4	M300660.lib1	M300660.lib2	M300661.lib1	M300661.lib2	M300662.lib1	M300662.lib2	M300663.lib1	M300663.lib2	M300664.lib1	M300664.lib2	M300665.lib1	M300665.lib2	M300666.lib1	M300666.lib2	M300667.lib1	M300667.lib2	M300668.lib1	M300668.lib2	M300669.lib1	M300669.lib2	M300670.lib1	M300670.lib2	M300671.lib1	M300671.lib2	M300672.lib1	M300672.lib2	M300673.lib1	M300673.lib2	M300674.lib1	M300674.lib2	M300675.lib1	M300675.lib2	M300676.lib1	M300676.lib2	M300677.lib1	M300677.lib2	M300678.lib1	M300678.lib2	M300679.lib1	M300679.lib2	M300680.lib1	M300680.lib2	M300681.lib1	M300681.lib2	M300682.lib1	M300682.lib2	M300683.lib1	M300683.lib2	M300684.lib1	M300684.lib2	M300685.lib1	M300685.lib2	M300686.lib1	M300686.lib2	M300687.lib1	M300687.lib2	M300688.lib1	M300688.lib2	M300689.lib1	M300689.lib2	M300690.lib1	M300690.lib2	M300691.lib1	M300691.lib2	M300692.lib1	M300692.lib2	M300693.lib1	M300693.lib2	M300694.lib1	M300694.lib2	M300695.lib1	M300695.lib2	M300696.lib1	M300696.lib2	M300697.lib1	M300697.lib2	M300698.lib1	M300698.lib2	M300699.lib1	M300699.lib2	M300700.lib1	M300700.lib2	M300701.lib1	M300701.lib2	M300702.lib2	M300703.lib2	Undetermined.Underermined
D300418:bin_000013	0	0	16	191	24	246	0	0	4	173	0	0	0	6	6	36	48	219	63	626	0	0	28	189	47	304	0	0	0	0	0	0	39	327	0	0	24	259	17	183	31	236	14	190	24	221	8	134	20	250	24	320	11	107	0	4	37	361	25	201	31	224	0	0	0	8	7	84	10	134	0	0	0	0	23	156	19	238	21	176	24	173	45	369	50	489	0	0	15	56	44	280	22	181	19	92	0	0	0	0	0	0	0	0	0	0	398
D300429:bin_000001	0	0	613	5235	601	7215	0	0	141	5192	0	0	8	99	34	366	773	6979	1353	9905	0	0	610	5950	653	5309	0	0	6	49	0	12	827	7692	0	0	601	5583	634	5118	401	3679	562	5677	519	4924	712	6395	965	7940	875	7185	267	2330	25	254	1141	8558	872	6583	599	5057	4	24	20	181	570	4309	661	5738	0	6	2	2	663	5628	560	4589	662	5159	425	3598	996	7970	850	7666	0	0	216	1983	777	6711	455	4256	550	4415	2	2	0	2	0	2	0	0	0	0	9969
D300432:bin_000001	0	0	231	1908	156	2061	2	8	60	1537	0	0	12	76	22	214	231	2253	398	3334	0	4	173	1866	236	1839	0	0	4	30	2	12	302	2515	0	0	177	1616	226	1743	145	1372	176	1619	222	1894	181	1478	259	2074	299	2424	98	1085	10	102	286	2438	193	1580	183	1521	0	0	6	48	184	1449	190	1693	0	4	0	0	217	1694	224	1779	170	1304	177	1765	317	2893	266	2178	0	0	84	676	246	2018	146	1376	123	940	1	4	0	7	2	4	0	5	0	0	3051
D300440:bin_000012	0	0	2581	20715	1909	20586	4	94	817	27006	0	0	65	694	1315	10750	1915	16219	4368	38211	0	0	2373	22614	2716	20633	0	0	322	2791	65	692	2963	26500	0	0	2162	18921	2706	20940	1888	16764	2443	21042	3305	29247	2059	16191	2832	22501	4194	33683	1400	10521	118	1061	3099	25187	2307	17738	2474	20278	6	50	46	364	3007	23405	2450	20755	4	26	8	60	2198	19061	3182	25029	2326	19684	2411	20356	4600	36638	3609	31384	0	0	729	7366	3510	29908	2105	20178	1320	9630	2	9	1	16	9	40	0	28	0	0	38299
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
D300443:bin_000002	0	0	427	3287	264	2638	0	14	72	1397	0	0	5	55	193	1464	233	1658	226	1886	0	0	220	2158	135	978	0	0	22	199	25	177	253	1923	0	0	213	1844	127	1354	497	4246	74	761	104	957	95	845	282	2338	198	1590	143	1040	8	61	114	925	82	601	178	1092	0	0	6	88	130	999	110	1013	0	0	2	22	125	917	109	1015	94	1016	261	2132	1516	13185	441	4133	0	0	32	335	105	965	122	1112	89	648	7	48	13	114	17	159	15	84	0	0	3164
D300444:bin_000010	0	0	16921	136485	13133	155070	0	0	5204	164202	2	10	248	2238	1279	11416	12250	109551	40025	332818	0	0	12402	113656	23284	178173	0	0	76	669	103	835	19434	174507	0	0	17046	147626	19213	154859	21237	180432	13899	116827	25861	228433	17360	145035	20287	168264	27628	220785	10979	87322	921	8150	27558	228505	16582	138534	15897	134581	4588	45643	676	6128	21994	170930	14310	124468	22	276	19	251	18148	153752	16941	133068	15786	129203	13685	115323	33031	260099	27368	236150	0	0	5360	44683	26673	224475	15288	144406	11392	83085	4	126	13	164	49	435	34	241	0	0	286919
D300459:bin_000001	0	0	8	75	7	104	0	0	5	130	0	0	0	0	0	0	14	152	31	178	0	10	14	70	9	125	0	1	18	196	0	0	6	136	2	8	10	60	11	84	16	93	16	127	6	164	18	70	4	84	24	144	4	40	2	2	16	116	10	102	10	127	0	0	2	6	17	102	28	137	0	4	0	6	30	144	13	138	16	118	6	76	24	170	26	167	0	0	0	60	38	208	10	108	6	46	0	0	0	0	0	0	0	0	0	0	248
D300463:bin_000012	0	0	2939	21888	1715	20329	0	1	902	28992	0	0	93	969	918	7337	2017	18055	4807	42701	0	0	2493	24272	3240	24865	0	0	158	1603	39	502	3368	29939	0	0	2576	22969	2991	23750	2495	21066	2560	21790	3843	32523	2147	17022	2994	24025	4848	37438	1490	10916	100	1246	3758	29814	2841	23529	2694	21857	0	6	87	797	2929	23628	2568	22797	0	23	5	80	2780	22210	3677	28809	2398	19713	2328	19133	5475	42935	4322	37719	0	0	950	8483	3928	33741	2316	21872	1495	10836	1	16	2	13	2	36	4	26	0	0	44208
D300464:bin_000017	0	16	119254	947210	82596	1054229	419	4147	23075	841457	2	22	3270	34697	8075	66711	99487	866807	187719	1545222	0	20	96983	879701	165952	1234615	4	20	277	2392	562	5248	151816	1321660	0	6	95919	829463	101460	790471	77963	657413	105101	876616	125830	1102158	102117	821443	137411	1101823	163832	1269958	57173	441317	4136	37324	179116	1420257	116028	962443	121883	1002515	81	896	4043	36180	104997	815595	85107	725251	145	1558	983	9631	125033	1033485	143884	1112956	115259	901165	83399	688464	195463	1530790	146672	1267665	0	4	37627	323709	166973	1414712	87164	831164	65509	482284	10	72	13	63	20	235	10	66	0	0	1941819
D300472:bin_000003	0	0	475	4423	506	5514	0	0	117	3951	0	0	6	96	35	196	696	6322	996	8025	0	0	529	5001	598	3950	0	0	4	2	6	52	641	5962	0	0	444	3843	523	4243	348	3253	545	4431	442	3729	596	4608	705	6187	614	5165	263	2166	15	154	729	6376	596	5015	431	3554	6	127	11	175	399	3318	454	4259	2	7	0	11	498	3908	470	3552	383	3502	412	2906	739	5929	664	5301	0	0	163	1433	628	5122	344	3180	466	3609	0	9	0	0	2	9	7	20	0	0	7827
D300474:bin_000002	0	0	91	648	51	596	0	0	20	495	0	0	4	20	6	31	74	702	139	1078	0	0	64	659	68	698	0	0	2	20	0	0	95	714	0	0	52	500	48	596	67	522	73	576	111	722	61	551	60	681	92	768	36	314	2	31	92	889	58	624	58	537	0	0	0	8	65	550	89	490	0	0	0	0	58	587	97	568	84	407	40	400	102	878	94	863	0	0	14	173	93	863	50	480	67	363	0	0	0	0	0	2	0	2	0	0	1080
