sequence_id	M300800.lib1	M300801.lib1	M300803.lib1	M300804.lib1	M300805.lib1	M300806.lib1	M300807.lib1	M300808.lib1	M300809.lib1	M300810.lib1	M300811.lib1	M300812.lib1	M300813.lib1	M300814.lib1	M300815.lib1	M300816.lib1	M300817.lib1	M300818.lib1	M300819.lib1	M300820.lib1	M300821.lib1	M300822.lib1	M300823.lib1	M300824.lib1	M300825.lib1	M300826.lib1	M300827.lib1	M300828.lib1	M300829.lib1	M300830.lib1	M300831.lib1	M300832.lib1	M300833.lib1	M300834.lib1	M300835.lib1	M300836.lib1	M300837.lib1	M300838.lib1	M300839.lib1	M300840.lib1	M300841.lib1	M300886.lib1	M301037.lib1	M301038.lib1	M301039.lib1	M301040.lib1	M301041.lib1	M301042.lib1	M301043.lib1	M301044.lib1	M301045.lib1	M301046.lib1	M301047.lib1	M301048.lib1	M301049.lib1	M301050.lib1	M301051.lib1	M301052.lib1	M301053.lib1	M301054.lib1	M301055.lib1	M301056.lib1	M301057.lib1	M301058.lib1	M301059.lib1	M301060.lib1	M301061.lib1	M301062.lib1	M301063.lib1	M301064.lib1	M301065.lib1	M301066.lib1	M301067.lib1	M301068.lib1	M301069.lib1	M301070.lib1	M301071.lib1	M301072.lib1	M301073.lib1	M301074.lib1	M301075.lib1	M301076.lib1	M301077.lib1	M301078.lib1	M301079.lib1	M301080.lib1	M301081.lib1	M301082.lib1	M301083.lib1	M301084.lib1	M301085.lib1	M301086.lib1	M301087.lib1	M301089.lib1	M301090.lib1	M301091.lib1	M301092.lib1	M301093.lib1	M301094.lib1	M301095.lib1	M301096.lib1	M301097.lib1	M301098.lib1	M301099.lib1	M301100.lib1	M301101.lib1	M301102.lib1	M301103.lib1	M301104.lib1	M301105.lib1	M301106.lib1	M301107.lib1	M301108.lib1	M301109.lib1	M301110.lib1	M301111.lib1	M301112.lib1	M301113.lib1	M301114.lib1	M301115.lib1	M301116.lib1	M301117.lib1	M301118.lib1	M301119.lib1	M301120.lib1	M301121.lib1	M301122.lib1	M301123.lib1	M301124.lib1	M301125.lib1	M301126.lib1	M301127.lib1	M301128.lib1	M301129.lib1	M301130.lib1	M301131.lib1	M301132.lib1	M301133.lib1	M301134.lib1	M301135.lib1	M301136.lib1	M301137.lib1	M301138.lib1	M301139.lib1	M301140.lib1	M301141.lib1	M301142.lib1	M301143.lib1	M301144.lib1	M301145.lib1	M301146.lib1	M301147.lib1	M301148.lib1	M301149.lib1	M301150.lib1	M301151.lib1	M301152.lib1	M301153.lib1	M301154.lib1	M301155.lib1	M301156.lib1	M301157.lib1	M301158.lib1	M301159.lib1	M301160.lib1	M301161.lib1	M301162.lib1	M301163.lib1	M301164.lib1	M301165.lib1	M301166.lib1	M301167.lib1	M301168.lib1	M301169.lib1	M301170.lib1	M301171.lib1	M301172.lib1	M301173.lib1	M301174.lib1	M301175.lib1	M301176.lib1	M301177.lib1	M301178.lib1	M301179.lib1	M301180.lib1	M301181.lib1	M301182.lib1	M301183.lib1	M301184.lib1	M301185.lib1
D300418:bin_000013	0	2983	3438	1153	0	3942	1487	3398	4772	2685	3497	0	0	2169	1777	3826	0	3667	3236	2426	1238	3229	0	3465	2359	0	1667	3210	2915	0	4769	0	1800	3364	2364	4377	4374	0	703	2293	0	1461	2217	4241	2014	0	3330	3176	0	2509	1985	1502	0	1569	2493	2805	3216	2246	0	3268	300	0	3177	1521	1559	1119	0	0	3238	832	2230	2369	0	2401	2845	2018	0	3292	2896	0	2771	2047	2913	0	1713	3740	3582	1960	0	1448	2104	120	1454	2997	496	166	3445	3276	2196	2493	0	1971	0	2975	0	1680	5972	5858	3781	0	0	3215	0	3624	1828	4107	2891	2895	446	3323	3012	211	4025	5250	0	3692	4998	0	3054	5986	4920	0	4540	1733	3945	0	0	4318	1116	0	3801	3883	300	3647	295	3658	1072	3998	3419	0	1274	0	0	1068	0	528	3502	1387	2639	806	0	4062	2353	2421	0	1496	4347	4017	3631	0	3650	0	1432	2160	0	771	2956	1946	0	300	0	3218	1604	3175	0	2795	1680	0	2684	916
D300429:bin_000001	1344	64587	52328	17237	1722	48747	29631	45051	75639	52527	54872	0	0	56127	53726	63936	2245	55275	53817	50303	31158	50378	1670	55225	50015	0	28153	57067	46909	0	58267	306	50708	49114	55839	69123	54202	0	35856	47785	395	56725	50295	78985	58504	0	58313	39654	0	35026	44588	35700	197	28785	45422	46257	42669	46959	0	49865	2270	0	40599	44648	33993	36451	0	489	52639	25075	47804	40128	0	51388	43506	39321	0	45642	39084	0	46882	40004	43010	0	46458	49234	58328	35607	0	33639	40666	2802	38931	48747	13442	9474	57523	57169	38465	48640	0	50989	11437	64407	375	42522	86740	76343	65899	0	1552	67600	0	75381	56602	81116	74652	60225	1224	78133	73127	1788	70729	79400	771	69587	80938	4885	77277	85446	70060	1987	72605	21621	69739	0	304	73704	17372	0	70828	66519	3910	54304	9561	66935	15381	69260	54889	141	30016	0	8272	3513	0	8412	57888	37606	47167	5292	0	50236	37208	42420	0	40152	68033	65603	65003	1987	51050	0	31520	44751	0	10227	41811	28655	0	740	0	41636	29407	64962	0	56247	45580	466	56252	28715
D300432:bin_000001	219	9293	9460	6519	300	10462	4707	9234	10234	8164	9505	0	0	9169	8546	9620	450	8431	8833	7735	5708	7860	1909	8175	9127	0	6716	8602	8062	275	8125	0	7832	8439	10031	9478	8872	0	4966	7587	0	8194	7216	9380	8336	0	9489	10848	0	10838	9232	8602	415	8239	10027	9373	9244	8946	0	8973	222	184	8706	10530	9763	9188	0	0	9917	8038	11099	10329	0	10413	9706	9847	163	9278	9902	0	10611	10697	9859	0	10637	11113	10864	11225	0	10070	10209	1747	11013	10823	1625	797	11092	10054	8637	9011	0	7824	961	9170	0	4578	11508	11060	9871	0	143	9234	0	10698	9919	9745	10974	7988	1512	10144	10973	1054	11802	11170	0	9793	10483	1952	11628	10622	9257	1201	11178	8169	13442	0	523	12686	3422	0	9660	9627	3502	10396	4241	9733	4046	11808	10495	0	6869	0	5115	2681	226	5606	10581	10528	11434	2621	202	10003	10039	10155	0	10155	12054	10774	11327	608	10354	0	11939	10384	157	5451	10629	9744	0	600	0	10541	9830	11290	0	11408	11811	193	11312	10798
D300440:bin_000012	2600	92155	83882	56933	2057	80929	51323	80700	93394	75290	84100	0	0	89755	86064	101896	5167	93176	81011	78352	52613	78318	5452	82899	80018	715	61340	78137	83746	158	82183	0	76110	80587	87648	86981	81775	0	48182	72086	1021	74468	78665	96789	78448	903	86704	22399	0	22584	22308	22724	1375	18975	24940	24962	23839	22736	0	23271	5494	1452	21351	24446	21443	22716	0	600	24518	21416	24033	23315	0	25217	23824	22624	1162	23157	22156	0	24244	21981	25759	0	24463	25869	26191	22303	0	22963	24883	4427	23466	24896	28953	7369	92053	87910	72025	77331	0	79174	15753	87588	545	49791	95956	112169	102297	0	3933	97150	0	113548	82062	89699	92440	76263	24946	93058	108113	4795	88938	89343	2323	91009	99794	17481	95669	101914	95773	3625	112772	71478	97905	0	0	90638	28994	0	90417	98379	7361	23551	10574	24679	12539	26088	26701	278	16861	0	13612	8246	324	13043	23414	22579	24310	5706	1748	25786	21482	24831	757	24175	26445	26486	26082	1551	25416	0	22905	26039	537	13557	23905	21991	509	5073	0	25464	22661	25239	300	27379	26148	836	26217	21640
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119623	0	0	0	0	0	0	42991	11005	0	0	0	0	0	0	0	2776	0	0	0	0	0	0	19636	0	0	3139	0	0	0	0	0	68547	0	167298	35118	26229	601	9803	93838	81926	142141	23640	0	188417	300	300	74262	353257	41423	102557	0	0	132033	61381	216935	159592	0	165426	207111	153963	0	157510	346871	0	181161	277894	149852	0	217658	292988	309553	207073	0	60856	174264	5617	138551	240670	216	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	960	0	0	0	0	135	135	0	300	0	0	278	0	150	0	0	0	0	0	140	0	0	0	0	450	0	0	0	0	0	0	0	514	254478	8458	46612	3857	270909	198552	1209	29822	0	392	24308	0	2599	220611	276995	389044	850	300	119127	58952	99433	448	217333	131096	211261	306057	2428	106432	0	116040	107932	536	2996	390469	240800	0	4178	0	348840	224310	564106	286	504790	198646	8434	386201	132816
D300443:bin_000002	509	32726	56688	5560	0	53847	9408	9806	26054	9572	14528	0	0	9399	6464	13346	150	8499	8414	67088	2881	5504	1467	6909	9729	0	5048	7272	6684	0	7262	0	9956	9973	40882	10649	23236	0	5117	26488	0	8277	7093	42354	7479	0	8556	3521	276	5250	4221	3384	0	2646	4503	4036	3342	3171	0	3666	300	0	3441	5399	5529	4335	0	0	4534	2667	4654	5085	0	5370	4219	3927	0	3680	2825	0	3624	4122	3322	0	4754	5376	4116	3951	0	4081	5381	861	4585	6258	1045	1142	13441	12964	4923	68418	0	9202	900	15669	140	3368	17664	12181	21376	0	159	14115	0	16390	42950	19726	23885	22000	1325	69798	13537	0	12711	24409	0	14918	216226	0	118804	71360	12972	0	17135	14743	67666	0	0	14202	681	0	39662	24435	966	3557	1091	3948	361	4190	4853	204	1262	0	1421	1136	0	768	4350	4084	5126	955	0	5213	4876	4062	300	4444	4753	3716	6627	168	4673	0	5269	3345	0	1091	5447	3967	0	162	0	5106	3586	5816	0	5931	5206	250	6032	5595
D300444:bin_000010	3090	2362309	1732093	800691	3953	1680428	610426	1977986	2450931	1794225	1830352	0	0	2041875	2009434	2500371	12811	2076897	1825466	1732355	623398	1654266	435468	1757631	1882353	348	392727	1882107	1917531	10119	1897859	44132	1760383	1660169	2121424	2353727	1929415	0	925793	1709959	4611	1810224	1850159	2547783	1873587	935	2229546	2282689	16837	2386517	2643781	2577718	45296	2260649	2700113	2701018	2634882	2674834	1360	2676011	357742	64285	2549873	2730404	2606811	2528589	0	12602	2748864	2356341	2700909	2671660	0	2734756	2728130	2701197	18779	2720781	2573888	2551	2725055	2693907	2684473	95	2747369	2751958	2759401	2469903	0	2527702	2590310	207085	2323364	2761919	267285	73349	2522154	1960213	1495309	1535057	1111	1654698	11732	2045996	9759	747611	2569663	2483371	2471665	1013	44408	2525830	0	2508216	1945535	2187755	2407675	1801020	52938	2570691	2453238	37098	2309611	2366172	2109	2176816	2488112	290530	2609033	2747798	2728275	169527	2578453	630253	2665938	0	3105	2590307	69828	0	2462854	2456296	371435	2737047	600556	2711572	772157	2799119	2710964	20916	1526186	0	805595	626716	4973	840402	2582640	2693919	2720183	171269	30771	2704093	2462451	2664722	14440	2663415	2775716	2773963	2751839	79428	2731741	2587	2424665	2607209	61050	1281586	2632803	2424116	1930	60992	529	2682786	2380136	2783982	12968	2749172	2703124	102830	2759185	2318544
D300459:bin_000001	0	2937	2497	294	0	3421	931	1750	3792	1570	1634	0	214	2764	1623	3063	0	1391	2192	1514	740	2195	0	1420	1620	0	1849	2466	2690	0	2235	0	2321	2731	3048	2339	892	0	900	1557	0	2515	2512	5519	2247	0	2636	1829	0	300	869	446	2147	255	300	163	1158	764	0	246	0	0	121	965	0	3064	0	0	565	625	1261	277	0	559	691	359	0	107	721	0	729	652	463	0	1202	551	1027	148	0	0	623	0	271	193	361	0	2503	2411	758	2453	0	1358	143	3400	0	381	2907	6049	4419	0	299	13277	0	3510	2369	3473	5695	1921	0	4963	3614	0	3370	2819	0	3038	4309	425	4253	5842	6518	790	5186	551	4316	0	0	3624	586	0	4100	2483	0	1631	211	694	0	821	728	0	262	0	0	0	126	0	564	497	1031	0	0	279	557	450	398	768	1270	834	806	0	568	0	150	300	0	245	0	249	0	0	0	811	664	1192	0	1231	649	0	623	1171
D300463:bin_000012	3028	209102	176015	87090	5060	187502	93499	171059	261559	163439	202072	0	0	200743	194505	225868	3597	203046	182845	190571	92746	198003	10166	187297	171232	538	99116	188336	149522	998	221297	1541	162238	188047	188523	235403	184039	0	84727	149947	300	175404	169638	293161	195663	1472	222694	142237	125	135269	141964	126957	4816	108324	139272	162318	154529	131424	150	154193	11912	3163	126827	148110	131729	116339	0	2443	155710	103876	154557	138293	0	161373	151690	146335	741	147267	146652	172	159518	147591	153721	166	156676	168661	171879	129464	0	132718	144626	13547	125302	157064	35193	7574	215307	213804	125131	159215	0	166629	20398	228069	387	68601	293994	289214	243792	0	3212	228646	0	243917	205846	251921	214208	198060	23705	266789	257180	4946	226680	258685	5599	234728	269082	21260	265040	275883	238653	2585	264452	74241	247418	0	2760	242146	32057	0	263819	221340	27628	159620	29370	168222	37236	174368	163444	1039	66194	0	44995	26693	1033	34366	161407	151316	154100	19878	2688	157061	126112	145076	1549	156877	168260	171608	171250	6002	159154	727	123228	146409	1329	53609	152303	131842	1778	3112	0	154585	113495	169927	589	165307	137909	908	167090	120565
D300464:bin_000017	150839	2453529	2437915	2174702	216485	2432002	2207874	2426529	2462029	2428160	2440402	0	1244	2441215	2433706	2451399	192900	2445406	2422821	2428597	2243506	2433857	8164	2434901	2441921	18151	2267482	2436267	2434953	884	2449586	1610	2425205	2435841	2442798	2454017	2433265	0	1792254	2423707	23081	2436375	2432060	2469802	2442612	25337	2447264	162805	19106	54488	48785	43431	14520	39195	53673	55758	52728	47201	300	50173	4497	1157	48754	61183	38742	40884	0	150	66226	43405	49997	44156	0	54307	52387	50314	448	50395	46625	3016	52376	52761	50398	480	56841	59178	61711	40320	0	38211	43536	5236	36344	52832	863362	491730	2453676	2445309	2424858	2415890	300	2423627	837384	2453591	83827	2256102	2466015	2461800	2456623	3021	92260	2458551	0	2459040	2436621	2459304	2450513	2438824	145968	2464759	2455994	444961	2457877	2460701	22207	2454002	2465395	559786	2460430	2476691	2466304	59018	2465229	2029732	2464114	446	2430	2460516	1402961	0	2463006	2456623	7731	59604	10136	66061	20632	70155	60804	5950	26174	0	15516	11688	477	15502	53247	51830	47141	6637	15534	54749	48066	49293	27857	48086	67826	63030	60409	2764	53657	0	34679	46312	120	21941	49479	38662	858	2649	0	47931	38822	60383	165	60135	50505	1057	58031	36779
