sequence_id	M300800.lib1	M300801.lib1	M300803.lib1	M300804.lib1	M300805.lib1	M300806.lib1	M300807.lib1	M300808.lib1	M300809.lib1	M300810.lib1	M300811.lib1	M300812.lib1	M300813.lib1	M300814.lib1	M300815.lib1	M300816.lib1	M300817.lib1	M300818.lib1	M300819.lib1	M300820.lib1	M300821.lib1	M300822.lib1	M300823.lib1	M300824.lib1	M300825.lib1	M300826.lib1	M300827.lib1	M300828.lib1	M300829.lib1	M300830.lib1	M300831.lib1	M300832.lib1	M300833.lib1	M300834.lib1	M300835.lib1	M300836.lib1	M300837.lib1	M300838.lib1	M300839.lib1	M300840.lib1	M300841.lib1	M300886.lib1	M301037.lib1	M301038.lib1	M301039.lib1	M301040.lib1	M301041.lib1	M301042.lib1	M301043.lib1	M301044.lib1	M301045.lib1	M301046.lib1	M301047.lib1	M301048.lib1	M301049.lib1	M301050.lib1	M301051.lib1	M301052.lib1	M301053.lib1	M301054.lib1	M301055.lib1	M301056.lib1	M301057.lib1	M301058.lib1	M301059.lib1	M301060.lib1	M301061.lib1	M301062.lib1	M301063.lib1	M301064.lib1	M301065.lib1	M301066.lib1	M301067.lib1	M301068.lib1	M301069.lib1	M301070.lib1	M301071.lib1	M301072.lib1	M301073.lib1	M301074.lib1	M301075.lib1	M301076.lib1	M301077.lib1	M301078.lib1	M301079.lib1	M301080.lib1	M301081.lib1	M301082.lib1	M301083.lib1	M301084.lib1	M301085.lib1	M301086.lib1	M301087.lib1	M301089.lib1	M301090.lib1	M301091.lib1	M301092.lib1	M301093.lib1	M301094.lib1	M301095.lib1	M301096.lib1	M301097.lib1	M301098.lib1	M301099.lib1	M301100.lib1	M301101.lib1	M301102.lib1	M301103.lib1	M301104.lib1	M301105.lib1	M301106.lib1	M301107.lib1	M301108.lib1	M301109.lib1	M301110.lib1	M301111.lib1	M301112.lib1	M301113.lib1	M301114.lib1	M301115.lib1	M301116.lib1	M301117.lib1	M301118.lib1	M301119.lib1	M301120.lib1	M301121.lib1	M301122.lib1	M301123.lib1	M301124.lib1	M301125.lib1	M301126.lib1	M301127.lib1	M301128.lib1	M301129.lib1	M301130.lib1	M301131.lib1	M301132.lib1	M301133.lib1	M301134.lib1	M301135.lib1	M301136.lib1	M301137.lib1	M301138.lib1	M301139.lib1	M301140.lib1	M301141.lib1	M301142.lib1	M301143.lib1	M301144.lib1	M301145.lib1	M301146.lib1	M301147.lib1	M301148.lib1	M301149.lib1	M301150.lib1	M301151.lib1	M301152.lib1	M301153.lib1	M301154.lib1	M301155.lib1	M301156.lib1	M301157.lib1	M301158.lib1	M301159.lib1	M301160.lib1	M301161.lib1	M301162.lib1	M301163.lib1	M301164.lib1	M301165.lib1	M301166.lib1	M301167.lib1	M301168.lib1	M301169.lib1	M301170.lib1	M301171.lib1	M301172.lib1	M301173.lib1	M301174.lib1	M301175.lib1	M301176.lib1	M301177.lib1	M301178.lib1	M301179.lib1	M301180.lib1	M301181.lib1	M301182.lib1	M301183.lib1	M301184.lib1	M301185.lib1
D300418:bin_000013	0	75	137	12	0	102	94	67	152	96	78	0	0	82	26	122	0	202	89	72	117	103	0	65	66	0	29	55	82	0	105	0	38	74	66	111	83	0	50	57	0	35	51	221	61	0	104	168	0	103	44	44	0	52	63	157	77	64	0	110	2	0	93	33	34	36	0	0	84	10	51	40	0	66	71	35	0	59	124	0	76	33	81	0	24	127	168	82	0	32	64	4	57	52	21	12	108	131	144	124	0	69	0	151	0	49	244	214	166	0	0	90	0	106	74	151	141	54	26	142	139	10	116	176	0	98	231	0	72	278	87	0	107	57	135	0	0	142	137	0	88	134	26	81	42	159	73	188	123	0	80	0	0	25	0	14	235	29	74	60	0	118	50	62	0	46	134	109	191	0	72	0	36	112	0	18	64	48	0	6	0	99	36	55	0	67	27	0	92	28
D300429:bin_000001	41	2060	1621	255	80	1825	1432	855	2587	1571	1709	0	0	1543	1721	2028	89	2031	1498	1584	1689	1544	64	1306	1038	0	675	1269	1396	0	1813	14	954	1403	1387	2367	1197	0	1209	1273	51	1225	1177	3624	1736	0	1558	1751	0	969	1091	1104	110	728	803	1463	945	934	0	1263	18	0	1322	796	725	808	0	36	1349	369	995	575	0	946	866	828	0	813	1060	0	1012	662	919	0	741	1280	1651	707	0	807	1123	108	1117	778	309	282	2690	2554	1786	2014	0	2216	444	2598	32	1731	4218	3149	3086	0	24	2682	0	2677	2310	3405	2206	1445	47	3522	3235	38	2186	2857	10	2911	3676	97	2912	5479	1810	44	3409	375	2207	0	21	3268	1069	0	2760	2404	132	1679	545	2532	1367	2022	1542	4	1753	0	274	89	0	283	2345	803	1174	318	0	1375	782	963	0	764	1865	1436	1917	107	1121	0	1146	1275	0	401	1110	820	0	20	0	1070	857	1336	0	1310	1038	32	1533	987
D300432:bin_000001	22	473	410	100	6	435	316	378	666	394	468	0	0	500	394	617	11	515	349	311	424	345	32	300	362	0	196	344	402	8	418	0	255	441	505	615	330	0	233	293	0	300	255	745	457	0	640	896	0	630	759	664	10	312	580	772	723	662	0	633	2	4	573	1054	587	652	0	0	921	248	889	482	0	738	651	683	8	563	735	0	684	540	620	0	753	821	1112	727	0	667	1016	63	783	911	41	46	796	767	882	526	0	497	38	766	0	208	962	973	730	0	10	796	0	679	718	1037	627	232	96	1215	920	34	888	740	0	667	824	52	863	1834	544	20	867	230	955	0	70	1058	239	0	641	639	204	989	324	1195	255	1169	992	0	521	0	179	45	4	221	1266	802	1117	111	16	985	683	1108	0	777	1655	961	1384	27	837	0	1302	878	26	338	1191	1142	0	44	0	941	793	1380	0	1667	1153	14	1445	950
D300440:bin_000012	121	7702	8252	1447	74	7782	4723	4693	11591	6997	8623	0	0	7707	7493	8729	364	8470	6891	5924	6173	6291	294	5091	5560	59	2760	4593	6222	24	6228	0	4261	6643	5664	8888	4593	0	3047	4819	26	5142	4500	14426	5843	159	9211	4120	0	2634	3675	4045	106	2131	3442	3251	2885	2682	0	3163	63	82	2898	3827	2807	2961	0	41	4301	1419	3634	1809	0	3331	3300	2823	97	2062	2912	0	2925	2117	2400	0	2652	3587	4258	2804	0	2866	4105	331	3300	3186	1080	418	12326	11571	10201	9442	0	10813	910	11635	30	3378	16080	17802	15715	0	86	16772	0	11429	8768	12254	9230	4600	1505	17451	11084	170	10127	11109	83	8493	10838	527	12661	71554	11612	58	14035	4493	11645	0	0	13647	2447	0	10214	11389	726	4658	1548	5642	2125	4772	5257	9	3376	0	1216	261	10	970	4244	3585	4085	352	69	4981	2632	4106	52	3128	7023	4064	5448	72	3831	0	5325	3976	87	1338	3907	4256	20	370	0	4662	3620	5066	18	5680	5031	20	6263	3761
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1822	0	0	0	0	0	0	3221	131	0	0	0	0	0	0	0	114	0	0	0	0	0	0	956	0	0	46	0	0	0	0	0	2030	0	3939	723	618	94	227	1257	1094	2156	360	0	2787	2	6	1895	5930	729	2067	0	0	2046	820	3862	1649	0	2221	2719	2274	0	1684	8211	0	2318	3007	2052	0	2383	3230	3970	4529	0	1126	4100	459	4282	2974	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	0	0	1	4	0	8	0	0	16	0	1	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	24	5370	638	910	400	3973	3407	88	2020	0	17	728	0	119	5261	4097	9200	48	2	2508	1346	2284	5	3832	2746	2650	5706	201	1502	0	5593	2718	80	126	9581	9310	0	304	0	9887	8603	8658	20	10075	4147	444	8333	5096
D300443:bin_000002	58	524	962	76	0	977	586	157	450	192	291	0	0	195	82	260	1	268	154	1168	131	118	79	134	138	0	99	135	94	0	135	0	117	175	558	260	302	0	268	499	0	129	94	720	168	0	174	253	2	314	129	151	0	65	191	115	136	99	0	126	2	0	172	305	181	194	0	0	267	86	384	206	0	318	187	184	0	156	309	0	225	137	196	0	233	329	384	278	0	222	330	33	398	353	17	60	465	425	315	1814	0	292	35	617	1	115	538	479	535	0	4	396	0	500	1049	477	452	317	62	1297	396	0	331	615	0	358	3284	0	1732	2798	262	0	472	659	1270	0	0	453	17	0	633	558	88	296	89	253	35	286	278	14	76	0	118	21	0	20	275	243	583	24	0	505	308	399	24	373	551	319	542	24	340	0	634	395	0	42	489	481	0	10	0	508	256	522	0	629	525	6	651	480
D300444:bin_000010	162	90417	50857	9058	275	54297	47702	36346	80668	60076	57738	0	0	58276	59125	93580	964	80859	53186	54515	53356	54106	32025	36899	37070	50	7899	39460	50877	808	53992	1920	30287	36780	54799	82654	38878	0	53993	50560	391	42143	37834	117661	54390	116	70492	168833	1506	132335	209029	220858	5170	115340	179055	184421	162091	190431	48	168199	3233	4534	201938	222413	176006	156280	0	848	244417	78043	188436	105428	0	180263	164337	160645	1643	135541	179533	90	166877	116445	142588	4	155222	174718	222192	134576	0	150370	201885	17371	153043	193172	13022	4634	126388	83683	113938	72029	56	78070	739	93958	850	39054	118479	120865	99774	79	1170	100730	0	84741	75091	84387	78688	39734	4873	128029	93532	1800	69421	86407	138	72115	89457	9710	91940	341861	118101	3829	96350	15411	95374	0	450	129146	7075	0	91126	110898	34909	285987	78056	300852	100980	356470	231316	1267	169113	0	46568	23001	126	49776	199628	178398	258054	11743	1359	236244	152225	249099	753	169677	428773	214617	289286	6481	191362	286	294740	215171	5933	89203	223522	234379	68	4816	20	263423	209336	273181	790	350255	247573	4894	319062	200559
D300459:bin_000001	0	52	42	2	0	84	58	20	62	32	23	0	78	46	28	52	0	30	30	26	80	65	0	14	20	0	26	30	59	0	30	0	24	29	40	42	9	0	16	28	0	36	40	101	44	0	40	92	0	4	25	7	425	2	2	2	12	11	0	2	0	0	2	12	0	74	0	0	10	8	20	2	0	9	14	13	0	2	10	0	8	10	4	0	13	8	11	2	0	0	13	0	11	2	10	0	52	49	22	41	0	38	12	91	0	11	56	131	63	0	4	204	0	67	34	61	86	30	0	108	76	0	40	42	0	42	77	6	54	271	94	38	76	6	65	0	0	61	16	0	80	71	0	32	6	11	0	9	13	0	22	0	0	0	4	0	6	12	17	0	0	5	11	3	8	15	17	14	8	0	6	0	2	2	0	4	0	6	0	0	0	19	10	14	0	15	18	0	11	33
D300463:bin_000012	163	9071	8566	1431	152	9194	6396	5348	13747	8021	10422	0	0	8383	9022	9981	138	9873	8337	8347	8942	8689	486	6502	5835	6	2880	5919	6639	26	8790	36	4917	8051	6442	10342	5394	0	4021	6080	2	6444	5259	19432	7908	151	11122	7281	2	4723	5585	5581	345	3321	4576	7119	5738	4116	2	5628	100	109	5279	5148	4166	3839	0	75	6568	2172	5640	3067	0	5524	4461	4564	23	3545	5722	8	4883	3583	4786	22	4521	6372	7212	4103	0	4368	5700	862	4947	4660	1600	358	13398	13064	11824	11361	0	11551	971	15606	26	4114	19529	21717	17340	0	68	17505	0	12398	11533	15355	10566	6574	1437	19805	13659	165	10841	14670	282	11513	13500	617	14307	64167	12607	44	16072	3141	12141	0	174	14641	2503	0	14861	13265	1544	8397	1985	10749	2859	9986	7854	31	4137	0	1790	729	16	1251	8567	5606	7041	954	55	6882	4312	6531	53	5482	10752	7148	8887	192	5688	15	7845	6036	81	2595	6786	6883	123	160	0	7525	5126	6937	13	8515	6118	25	8114	5870
D300464:bin_000017	7322	615024	489411	61084	11438	472879	430213	239381	641408	386192	485428	0	204	485541	435627	494491	18083	612209	313331	407860	508900	536593	669	363756	336782	1246	133277	278539	342679	58	501601	66	241603	353807	385898	593811	294923	0	155949	327853	2474	328140	325961	1125427	526535	2144	523704	7231	365	2419	3114	3110	1667	1989	2567	3196	2663	2305	3	2807	38	75	3415	3004	2088	2110	0	2	3359	1273	2384	1326	0	2227	2333	2290	16	1936	2513	64	2369	1882	2150	22	2049	2787	3669	1894	0	1882	2650	325	2154	2300	44666	27913	667853	670894	1195757	506640	4	505881	65765	947959	6548	309331	929943	886677	720830	142	2181	618219	0	561691	513816	791702	530103	352169	11258	1139622	747010	24589	586189	703663	1299	607250	694535	18615	621681	2603516	635340	1324	798104	126003	613152	3	254	797681	194485	0	757041	802157	562	4508	1190	5063	2293	5078	3966	400	2090	0	870	363	19	943	4130	2806	3010	248	691	3395	2564	2935	1483	2428	5445	3117	4053	132	2702	0	2960	2979	14	1672	3102	3094	36	235	0	3429	2747	3253	14	4062	3173	45	3768	2604
