sequence_id	M301186.lib1	M301187.lib1	M301188.lib1	M301189.lib1	M301190.lib1	M301191.lib1	M301192.lib1	M301193.lib1	M301194.lib1	M301195.lib1	M301196.lib1	M301197.lib1	M301198.lib1	M301199.lib1	M301200.lib1	M301201.lib1	M301202.lib1	M301203.lib1	M301204.lib1	M301205.lib1	M301206.lib1	M301207.lib1	M301208.lib1	M301209.lib1	M301210.lib1	M301211.lib1	M301212.lib1	M301213.lib1	M301214.lib1	M301215.lib1	M301216.lib1	M301217.lib1	M301218.lib1	M301219.lib1	M301220.lib1	M301221.lib1	M301222.lib1	M301223.lib1	M301224.lib1	M301225.lib1	M301226.lib1	M301227.lib1	M301228.lib1	M301229.lib1	M301230.lib1	M301231.lib1	M301232.lib1	M301233.lib1	M301234.lib1	M301235.lib1	M301236.lib1	M301237.lib1	M301238.lib1	M301239.lib1	M301240.lib1	M301241.lib1	M301242.lib1	M301243.lib1	M301244.lib1	M301245.lib1	M301246.lib1	M301247.lib1	M301248.lib1	M301249.lib1	M301250.lib1	M301251.lib1	M301252.lib1	M301253.lib1	M301254.lib1	M301255.lib1	M301256.lib1	M301257.lib1	M301258.lib1	M301259.lib1	M301260.lib1	M301261.lib1	M301262.lib1	M301263.lib1	M301264.lib1	M301265.lib1	M301266.lib1	M301267.lib1	M301268.lib1	M301269.lib1	M301270.lib1	M301271.lib1	M301272.lib1	M301273.lib1	M301274.lib1	M301275.lib1	M301276.lib1	M301277.lib1	M301278.lib1	M301279.lib1	M301280.lib1	M301281.lib1	M301282.lib1	M301283.lib1	M301284.lib1	M301285.lib1	M301286.lib1	M301287.lib1	M301288.lib1	M301289.lib1	M301290.lib1	M301291.lib1	M301292.lib1	M301293.lib1	M301294.lib1	M301295.lib1	M301296.lib1	M301297.lib1	M301298.lib1	M301299.lib1	M301300.lib1	M301301.lib1	M301302.lib1	M301303.lib1	M301304.lib1	M301305.lib1	M301306.lib1	M301307.lib1	M301308.lib1	M301309.lib1	M301310.lib1	M301311.lib1	M301312.lib1	M301313.lib1	M301314.lib1	M301315.lib1	M301316.lib1	M301317.lib1	M301318.lib1	M301319.lib1	M301320.lib1	M301321.lib1	M301322.lib1	M301323.lib1	M301324.lib1	M301325.lib1	M301326.lib1	M301327.lib1	M301328.lib1	M301329.lib1	M301330.lib1	M301331.lib1	M301332.lib1	M301333.lib1	M301334.lib1	M301335.lib1	M301336.lib1	M301337.lib1	M301338.lib1	M301339.lib1	M301340.lib1	M301341.lib1	M301342.lib1	M301343.lib1	M301344.lib1	M301345.lib1	M301346.lib1	M301347.lib1	M301348.lib1	M301349.lib1	M301350.lib1	M301351.lib1	M301352.lib1	M301353.lib1	M301354.lib1	M301355.lib1	M301356.lib1	M301357.lib1	M301358.lib1	M301359.lib1	M301360.lib1	M301361.lib1	M301362.lib1	M301363.lib1	M301364.lib1	M301365.lib1	M301366.lib1	M301367.lib1	M301368.lib1	M301369.lib1	M301370.lib1	M301371.lib1	M301372.lib1	M301373.lib1	M301374.lib1	M301375.lib1	M301376.lib1	M301377.lib1
D300418:bin_000013	0	2207	2003	150	0	1761	2952	4646	1770	3062	0	0	2769	3259	3610	1283	2521	2182	0	0	595	0	2620	0	2832	3867	4315	0	1717	0	4466	0	0	4804	0	0	1629	4386	2077	1310	0	143	0	2296	0	0	0	2733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1961	279	0	1040	0	1465	0	2698	0	0	2538	0	0	1740	2771	1281	936	0	0	815	3926	3208	0	1746	688	0	0	0	2203	2251	2904	3506	3451	5209	5513	2722	3797	0	0	0	1818	1347	3669	1846	1640	0	0	2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	0	24431	34087	8033	0	48485	65683	106683	43120	52766	300	0	53225	55608	53482	37394	61938	58897	15045	2979	15660	0	19673	0	74364	72954	87532	624	41100	4102	74638	0	0	66784	793	259	28986	68660	40666	25158	4990	1827	0	42377	419	450	0	79172	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42071	36426	0	27775	0	39339	0	44601	0	0	61854	0	0	39333	72857	35386	24980	0	0	26577	52999	40325	2154	54319	16937	0	110	0	52056	53950	51088	79957	75291	105729	99719	61341	62037	0	0	0	42634	57210	72790	32045	53653	14168	0	67492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	902	0	0
D300432:bin_000001	0	6232	8888	2242	0	8817	11384	12611	7999	9201	0	0	10320	9949	11002	8537	9831	12153	4962	117	4726	0	5990	0	11366	11290	13817	562	7840	606	11340	0	0	10948	300	0	5173	10695	9605	6038	3631	286	0	9120	300	0	0	10439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8416	8301	0	6648	0	8317	0	10342	0	0	9560	0	0	6900	9610	7001	3439	0	0	4704	10757	9393	0	9810	4620	0	0	0	8416	8853	10460	12447	11150	10359	10886	9988	9427	0	0	0	8856	9285	10246	7102	9184	1617	0	10570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0
D300440:bin_000012	0	54347	73567	19673	0	74233	90648	116522	64544	86989	0	0	82722	85647	84013	71641	80712	81850	38184	14304	47374	0	61657	0	86769	95488	99002	1872	68900	12837	101970	0	0	85570	5834	300	55479	84556	72689	57279	25748	9165	0	73531	1813	223	0	91303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	77494	66000	0	53758	0	68246	0	75374	0	0	83165	0	0	59300	92970	61363	42816	0	0	49864	81077	76457	14906	82169	42608	0	5137	0	73313	74718	88370	95149	94512	133252	106106	88838	80279	0	0	0	71980	81234	88047	57246	79088	12528	0	85914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	164	0	0
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	558	0	0
D300443:bin_000002	0	12915	30411	4848	0	45628	57905	62536	8506	78294	0	0	76639	50780	140725	9534	109219	17324	21100	450	12813	0	6237	0	53115	77477	102816	843	8827	1270	139424	0	0	16980	0	0	7641	57853	14938	12792	750	300	0	22150	0	0	0	72091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41795	12843	0	13099	0	16835	0	22699	0	0	17180	0	0	34045	38106	3946	1953	0	0	2806	14666	37542	1730	22294	2557	0	0	0	29257	37360	15605	15412	13341	15171	28137	10315	10665	0	0	0	10609	19776	83138	4126	6360	572	0	17937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0
D300444:bin_000010	300	652320	1524225	138054	199	992755	1949055	2559874	875600	2075610	0	0	1722101	1811584	1922223	1094389	1627617	1423310	528174	79987	243517	0	762471	300	1930691	1993443	2560756	34965	1077583	71857	2333080	0	723	1649880	30201	9309	876926	1419129	1329505	653671	233871	67793	0	1082175	10425	2700	0	2080135	0	0	762	0	0	0	0	0	161	0	0	0	0	183	0	0	1599	0	0	0	0	0	300	0	719	0	0	393	0	230	0	0	0	0	150	0	0	0	0	0	0	472	263	0	0	0	0	0	1251525	440626	271	621999	0	804383	0	1032781	0	0	1806397	0	0	981942	2303934	714065	485203	0	0	314232	1560159	1351354	12510	1307772	500714	0	1479	0	1104307	1137982	1553992	2221798	2533207	2564024	2583297	2077291	1224795	0	0	0	937147	1984295	1972853	647538	1691414	148185	0	1702123	0	977	0	0	0	0	0	0	0	0	0	150	0	0	0	399	0	0	2793	0	0	300	271	0	3256	0	0	141	627	0	0	300	0	0	1871	0	0	0	0	0	0	381	0	0	0	7408	478	0
D300459:bin_000001	0	629	2745	0	0	2506	2679	3825	300	2349	0	0	1733	1941	810	2085	1422	2656	300	122	0	0	1248	0	3312	1661	4594	0	252	259	4371	0	0	1996	0	0	957	2173	670	1397	169	153	0	2129	0	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	149	0	0	0	185	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	676	0	556	0	853	0	1944	0	0	1661	0	0	186	1808	1079	904	0	0	179	1102	1674	0	1816	439	0	0	0	2016	1905	2040	3327	4797	5228	5812	3404	1162	0	0	0	1534	3282	2957	521	1666	0	0	3005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	133
D300463:bin_000012	0	84514	143412	22283	0	114050	201550	293146	89315	181285	0	0	147720	168352	182419	120061	162226	189051	48981	13233	61453	0	89628	274	218427	205106	286082	2993	115249	17595	254258	0	197	204865	2942	1289	88260	190641	103573	97274	36302	10513	0	124602	1982	599	0	179892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	116971	94390	0	74040	0	98480	0	130180	0	0	158229	0	0	85239	220913	125410	93615	0	0	66213	145731	159665	9444	145062	55715	0	2650	0	160077	168983	170480	240274	245854	301681	284302	205568	186191	0	0	0	112429	169203	225930	94071	144727	21792	0	183499	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0
D300464:bin_000017	4053	1891338	2370916	929857	0	2324327	2432208	2459653	2274668	2432364	0	323	2428478	2423101	2416555	2310720	2411648	2421044	1710748	365519	1548329	0	1961707	111	2443002	2441695	2466825	133199	2281246	469181	2455188	0	317	2428980	60568	21964	2070923	2419479	2301140	1721097	892410	494254	0	2285006	70674	121009	1129	2445348	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	148	300	0	0	0	225	395	0	0	2566	0	1241	549	978	300	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	2283649	2038329	1912	1869509	0	2208499	0	2326468	0	0	2398858	0	274	2198892	2446535	2247888	2285170	690	0	1533924	2401546	2365969	83246	2408766	1764511	520	4368	0	2306778	2368309	2430620	2448800	2455753	2465216	2459716	2442193	2408695	0	0	0	2330678	2396216	2438301	1957009	2367756	604868	454	2424891	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	574	0	0	2799	0	0	174	300	0	0	125	886	0	295	0	0	0	0	0	0	113	0	0	0	1028	0	0
