sequence_id	M301186.lib1	M301187.lib1	M301188.lib1	M301189.lib1	M301190.lib1	M301191.lib1	M301192.lib1	M301193.lib1	M301194.lib1	M301195.lib1	M301196.lib1	M301197.lib1	M301198.lib1	M301199.lib1	M301200.lib1	M301201.lib1	M301202.lib1	M301203.lib1	M301204.lib1	M301205.lib1	M301206.lib1	M301207.lib1	M301208.lib1	M301209.lib1	M301210.lib1	M301211.lib1	M301212.lib1	M301213.lib1	M301214.lib1	M301215.lib1	M301216.lib1	M301217.lib1	M301218.lib1	M301219.lib1	M301220.lib1	M301221.lib1	M301222.lib1	M301223.lib1	M301224.lib1	M301225.lib1	M301226.lib1	M301227.lib1	M301228.lib1	M301229.lib1	M301230.lib1	M301231.lib1	M301232.lib1	M301233.lib1	M301234.lib1	M301235.lib1	M301236.lib1	M301237.lib1	M301238.lib1	M301239.lib1	M301240.lib1	M301241.lib1	M301242.lib1	M301243.lib1	M301244.lib1	M301245.lib1	M301246.lib1	M301247.lib1	M301248.lib1	M301249.lib1	M301250.lib1	M301251.lib1	M301252.lib1	M301253.lib1	M301254.lib1	M301255.lib1	M301256.lib1	M301257.lib1	M301258.lib1	M301259.lib1	M301260.lib1	M301261.lib1	M301262.lib1	M301263.lib1	M301264.lib1	M301265.lib1	M301266.lib1	M301267.lib1	M301268.lib1	M301269.lib1	M301270.lib1	M301271.lib1	M301272.lib1	M301273.lib1	M301274.lib1	M301275.lib1	M301276.lib1	M301277.lib1	M301278.lib1	M301279.lib1	M301280.lib1	M301281.lib1	M301282.lib1	M301283.lib1	M301284.lib1	M301285.lib1	M301286.lib1	M301287.lib1	M301288.lib1	M301289.lib1	M301290.lib1	M301291.lib1	M301292.lib1	M301293.lib1	M301294.lib1	M301295.lib1	M301296.lib1	M301297.lib1	M301298.lib1	M301299.lib1	M301300.lib1	M301301.lib1	M301302.lib1	M301303.lib1	M301304.lib1	M301305.lib1	M301306.lib1	M301307.lib1	M301308.lib1	M301309.lib1	M301310.lib1	M301311.lib1	M301312.lib1	M301313.lib1	M301314.lib1	M301315.lib1	M301316.lib1	M301317.lib1	M301318.lib1	M301319.lib1	M301320.lib1	M301321.lib1	M301322.lib1	M301323.lib1	M301324.lib1	M301325.lib1	M301326.lib1	M301327.lib1	M301328.lib1	M301329.lib1	M301330.lib1	M301331.lib1	M301332.lib1	M301333.lib1	M301334.lib1	M301335.lib1	M301336.lib1	M301337.lib1	M301338.lib1	M301339.lib1	M301340.lib1	M301341.lib1	M301342.lib1	M301343.lib1	M301344.lib1	M301345.lib1	M301346.lib1	M301347.lib1	M301348.lib1	M301349.lib1	M301350.lib1	M301351.lib1	M301352.lib1	M301353.lib1	M301354.lib1	M301355.lib1	M301356.lib1	M301357.lib1	M301358.lib1	M301359.lib1	M301360.lib1	M301361.lib1	M301362.lib1	M301363.lib1	M301364.lib1	M301365.lib1	M301366.lib1	M301367.lib1	M301368.lib1	M301369.lib1	M301370.lib1	M301371.lib1	M301372.lib1	M301373.lib1	M301374.lib1	M301375.lib1	M301376.lib1	M301377.lib1
D300418:bin_000013	0	31	56	2	0	37	127	301	67	80	0	0	112	84	122	42	106	75	0	0	9	0	82	0	70	203	444	0	28	0	195	0	0	510	0	0	28	308	61	48	0	12	0	74	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	12	0	21	0	77	0	69	0	0	85	0	0	26	79	23	39	0	0	29	128	55	0	146	12	0	0	0	128	105	168	186	408	301	433	183	177	0	0	0	72	88	204	53	40	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	0	401	856	128	0	1561	2841	6343	1144	1731	2	0	1774	1286	1913	819	2521	2631	193	38	280	0	565	0	2316	4675	6757	5	1003	63	4590	0	0	4242	10	10	415	4937	1261	561	108	36	0	1424	6	4	0	4787	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1981	1630	0	868	0	1610	0	1510	0	0	2109	0	0	749	3403	694	788	0	0	975	1810	934	64	3056	235	0	4	0	2138	2188	2645	4403	4989	8002	6585	4556	3373	0	0	0	1632	3907	5209	1095	2441	418	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	42	0	0
D300432:bin_000001	0	137	251	31	0	400	961	1919	292	644	0	0	869	513	618	278	556	909	65	2	86	0	251	0	720	1440	1953	8	264	8	1473	0	0	1218	4	0	103	1237	472	170	74	16	0	540	4	0	0	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	554	0	291	0	468	0	491	0	0	686	0	0	156	1003	241	162	0	0	231	703	384	0	1193	87	0	0	0	629	872	935	1588	2245	1840	1821	1460	776	0	0	0	583	1162	1805	412	656	45	0	1765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
D300440:bin_000012	0	1371	4380	437	0	5544	11297	23742	3222	8779	0	0	8277	6340	6518	4364	7905	7710	515	271	1539	0	3759	0	10138	17703	29826	35	3373	146	19325	0	0	11689	61	12	1205	17349	7642	2615	882	278	0	7347	27	6	0	16536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10235	7382	0	3489	0	6612	0	6984	0	0	9782	0	0	1908	12059	2399	3909	0	0	3869	8785	4654	581	10714	851	0	168	0	6108	8882	15079	16734	29087	18354	21149	16214	9257	0	0	0	6720	25579	20826	4287	12831	556	0	17698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0
D300443:bin_000002	0	184	656	74	0	1154	1520	2749	206	1942	0	0	2294	1045	3000	205	3030	713	194	3	265	0	225	0	1295	3219	4406	13	214	13	4418	0	0	981	0	0	136	3162	693	342	5	4	0	792	0	0	0	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	690	0	575	0	929	0	769	0	0	769	0	0	563	1124	53	51	0	0	142	617	1046	114	962	32	0	0	0	1280	1471	912	977	853	934	1291	683	479	0	0	0	407	1268	4917	215	354	38	0	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
D300444:bin_000010	8	10856	49154	2824	2	34758	87575	182274	24221	88143	0	0	61146	50509	62528	32200	70653	49704	5563	1757	5541	0	31112	6	52487	116451	249126	617	21546	1105	142201	0	20	89223	367	395	14119	101702	54653	22930	6989	1950	0	46883	236	61	0	139630	0	0	14	0	0	0	0	0	26	0	0	0	0	8	0	0	59	0	0	0	0	0	4	0	80	0	0	30	0	2	0	0	0	0	2	0	0	0	0	0	0	62	42	0	0	0	0	0	89665	29335	6	31389	0	46613	0	42770	0	0	86312	0	0	20044	105269	15987	28569	0	0	20512	75155	32417	857	79468	7053	0	120	0	58357	61825	82900	125229	266904	182716	232703	156702	64654	0	0	0	48733	224383	152040	35620	111703	9602	0	148619	0	36	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	99	0	0	12	26	0	100	0	0	12	48	0	0	2	0	0	64	0	0	0	0	0	0	10	0	0	0	713	10	0
D300459:bin_000001	0	10	44	0	0	57	47	99	2	44	0	0	53	28	18	32	40	60	2	2	0	0	32	0	46	41	152	0	6	2	106	0	0	36	0	0	12	83	6	17	6	4	0	55	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	34	0	14	0	44	0	43	0	0	42	0	0	2	24	14	26	0	0	16	16	21	0	50	4	0	0	0	47	38	44	91	160	168	197	97	32	0	0	0	53	146	84	23	35	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4
D300463:bin_000012	0	1692	5128	394	0	4983	12524	26730	3116	9891	0	0	8252	7071	7725	4903	8789	8939	621	289	1627	0	4109	8	11304	17857	34944	42	3616	236	22679	0	2	17643	29	45	1497	21505	7632	3772	1068	256	0	8270	34	12	0	16263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	10485	7048	0	3916	0	7108	0	8230	0	0	10771	0	0	2104	13457	3692	5554	0	0	4385	8929	5656	415	11740	1072	0	93	0	8605	11653	15791	17778	33763	23191	27150	18944	13411	0	0	0	6961	27161	23616	6143	14815	1009	0	20797	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
D300464:bin_000017	66	56257	228151	22688	0	221613	490716	834833	155279	383515	0	4	401711	277709	292637	175401	355955	356738	29521	8042	50510	0	142799	10	330888	652375	1375479	2016	115069	7338	860731	0	17	529880	582	803	66648	661160	223049	89187	31381	15168	0	236619	1356	3021	24	900038	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	6	17	0	0	0	22	12	0	0	184	0	134	16	84	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	354345	253808	55	149635	0	280780	0	270220	0	0	335145	0	10	102548	517484	132037	402592	26	0	140534	370895	158708	4537	534053	39973	10	238	0	293281	378934	543083	642496	1095120	1057116	1052957	809805	481359	0	0	0	323915	661563	748932	180150	358021	37794	44	851496	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	24	0	0	60	0	0	14	10	0	0	1	14	0	12	0	0	0	0	0	0	2	0	0	0	74	0	0
D300472:bin_000003	0	166	477	91	0	1136	2250	4398	812	1048	1	0	1546	1080	1329	587	1873	2187	158	42	228	0	302	0	1791	3470	4675	12	797	41	3314	0	0	2180	5	8	352	3029	1247	413	30	6	0	1136	8	2	0	3837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	1352	0	561	0	1177	0	1037	0	0	1476	0	0	534	2720	509	498	0	0	652	1515	711	17	2269	160	0	2	0	1582	1494	2109	3488	3825	6193	4401	3785	2398	0	0	0	1431	2701	3762	633	1810	241	0	3812	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0
D300474:bin_000002	0	28	105	18	0	153	343	692	64	236	0	0	263	233	143	74	240	262	14	6	57	0	81	0	213	392	621	2	117	8	461	0	0	252	0	0	72	429	96	111	0	4	0	90	0	8	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	160	0	41	0	172	0	129	0	0	229	0	0	51	261	61	130	0	0	129	266	97	12	245	10	0	0	0	174	132	293	465	733	632	540	503	355	0	0	0	196	299	337	74	229	59	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300474:bin_000012	0	918	3257	210	0	3431	6710	14720	2395	5354	0	0	5179	4108	4574	2602	5115	6075	336	124	760	0	2122	0	6037	10295	19027	28	1952	95	11824	0	2	8297	15	8	907	10860	4285	1488	354	228	0	4164	20	6	0	10571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6507	4175	0	1828	0	4126	0	4424	0	0	5739	0	0	1405	8456	1704	2124	0	0	2268	5590	2947	259	7548	676	0	75	0	4933	6395	9041	11230	18435	14760	13188	10544	5902	0	0	0	5081	12500	13586	2740	6351	579	0	11671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	132	0	0
D300479:bin_000001	0	12390	40199	8638	4	54559	115449	185712	97980	64391	0	0	82777	51307	82158	29834	129855	64008	6528	1347	17829	0	127943	0	96819	187305	275473	35	35327	1659	91452	0	0	312945	348	134	23011	95881	60575	126592	1598	2715	0	145283	1833	11	0	87312	0	0	2	0	0	0	0	0	22	0	0	0	0	0	0	11	10	8	14	0	0	190	0	0	50	58	0	103	4	2	18	8	2	0	0	0	0	4	0	4	52	12	0	2	0	6	0	0	53226	105750	0	59584	16	89125	0	95916	0	0	85628	0	0	21523	85926	18786	25824	0	0	30614	101227	33491	2828	98007	25407	0	1124	0	146882	65457	110682	162834	170252	103032	146717	104516	52921	0	0	0	37253	223932	216113	32919	103857	3887	0	206078	6	0	0	0	38	8	0	375	475	0	0	0	0	18	0	95	26	0	0	0	2	223	505	18	0	0	60	0	0	42	0	24	2	0	0	0	0	0	0	0	88	0	0	16	48	860	0	0
D300479:bin_000012	0	14634	65095	7312	0	57298	133804	255477	50080	114240	0	0	105719	75017	91332	52534	105407	108222	9472	1721	12331	0	48811	6	85897	179034	347515	873	28700	1658	205693	0	14	151782	194	66	16827	224853	83153	20738	11901	4296	0	76442	446	518	0	253851	0	0	0	0	0	0	0	0	12	0	0	0	0	0	8	0	10	150	16	0	0	0	0	0	18	29	0	36	2	18	4	0	0	0	34	0	0	0	0	0	0	0	36	0	0	0	2	0	132925	83646	20	49747	2	85805	0	75858	0	4	131002	0	0	25248	147336	34517	82009	2	0	52045	106624	50497	1353	152450	15361	0	2758	0	52317	108198	151069	206353	331389	260968	244596	198225	102960	0	0	0	114575	250041	203400	53329	77434	8963	33	269461	22	56	0	0	12	0	14	0	0	4	0	2	578	0	2	28	0	18	56	0	2	13	4	0	50	0	0	0	66	12	0	20	8	2	60	0	0	0	0	0	4	964	0	0	0	1107	10	0
D300482:bin_000009	0	2746	8623	793	0	10407	20228	44698	6789	15495	0	0	15194	11756	12371	7983	13774	15574	1176	525	2821	0	7884	6	19200	32798	56842	72	6303	276	36759	0	0	22054	77	2	2059	32237	13714	5142	1049	384	0	14020	67	8	0	29954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	19746	13864	0	6474	0	12315	0	12838	0	0	18330	0	0	3397	21435	4891	4741	0	0	7054	16445	8741	1536	19789	1561	0	368	0	12014	18934	28090	32720	52284	33984	41099	31248	16063	0	0	0	15420	43077	40696	8065	22471	1130	0	34353	0	30	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
D300491:bin_000007	0	169	552	44	2	535	1220	2052	280	866	0	0	696	553	576	527	736	613	42	9	63	0	314	0	819	1235	3100	4	225	12	1882	0	0	1175	1	6	124	1583	674	225	85	22	0	688	4	3	0	1806	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	623	0	388	0	569	0	534	0	0	981	0	0	187	1129	351	820	0	0	371	751	409	17	1257	56	0	0	0	746	973	1164	1521	2719	1994	2617	1835	1049	0	0	0	758	1852	1486	389	1231	68	0	1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300492:bin_000001	0	46	398	2	0	609	1238	1105	43	19	0	0	323	20	46	22	31	1060	3	0	9	0	10	0	1147	1772	1507	0	429	0	1424	0	0	1849	0	0	8	89	1615	14	0	12	0	106	0	0	0	95	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	20	0	0	0	67	48	0	28	0	37	0	97	0	0	1069	0	0	757	363	8	17	0	6	6	82	18	15	69	41	0	0	0	51	48	47	94	83	83	144	117	32	0	0	0	23	147	1886	7	66	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	18	0	0	0	0	0
D300492:bin_000003	0	8676	28417	2794	18	21166	61695	108240	8610	37074	0	6	38848	33058	22345	20971	40089	77041	3145	1817	8082	0	20182	707	36952	49365	229626	262	19360	930	114682	0	18	54762	121	79	9991	59937	22907	15726	4481	660	0	27037	131	23	0	88865	0	0	0	0	0	0	0	0	0	0	24	0	967	0	0	0	10	0	16	0	0	0	0	0	8	0	0	36	0	20	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	40927	28056	0	25716	0	41007	0	36182	0	0	40283	0	0	9388	55268	13937	57484	26	4	21899	50145	27279	423	51922	8452	0	68	0	37803	71020	42430	137065	96706	215746	81849	77498	50983	0	0	0	39332	75072	155296	28219	45629	8005	18	74674	0	14	0	0	0	0	28	0	0	0	0	0	0	0	4	0	0	0	38	0	0	28	0	0	36	0	0	0	33	0	22	0	2	0	19	0	0	0	0	4	12	0	0	0	0	402	0	0
D300494:bin_000016	0	2263	7873	738	0	9965	18461	43965	6337	14511	0	0	14386	11014	11527	7695	13578	14389	887	342	2457	0	6777	0	18766	31267	50505	74	6095	353	34591	0	4	20313	83	2	2126	31846	13615	4341	910	462	0	13554	39	0	0	30280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18929	13690	0	5928	0	11962	0	12628	0	0	17878	0	0	3494	22008	4486	4675	0	0	7272	15667	8905	1181	18651	1612	0	348	0	12584	17547	27274	29789	52468	33616	37398	30250	16812	0	0	0	12832	44808	38420	7781	22722	1171	0	33602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	24	0	0
D300495:bin_000001	0	245	1026	67	0	1089	1963	4178	639	1276	0	0	1134	1054	1108	709	1366	1531	122	36	212	0	478	0	1367	2589	5523	18	533	39	3244	0	0	1855	10	2	217	2607	1114	434	150	28	0	986	0	1	0	2657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1669	1151	0	672	0	1447	0	1157	0	0	1479	0	0	321	2027	478	884	0	0	754	1359	651	83	2116	212	0	41	0	1518	1555	2011	2865	5021	3817	4697	3114	1691	0	0	0	1452	2646	3095	839	1342	81	0	3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300497:bin_000007	0	9738	32396	2845	0	26968	66298	109407	23121	45207	0	5	67166	38373	37562	30310	60593	63216	4208	1730	8102	0	20902	0	48370	108573	229760	746	15333	883	125680	0	6	97310	209	32	10488	94567	26596	11963	5412	2453	0	48565	92	562	4	155109	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	10	0	0	36	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	56841	32919	40	20996	0	39388	0	33280	0	0	54586	0	0	11527	63572	17338	61367	22	0	17679	50711	21409	583	60204	5301	0	182	0	42570	57445	81700	81873	126957	118100	146970	117361	65922	0	0	0	48598	125444	109313	24611	49419	7037	28	106236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	20	0	0
D300499:bin_000015	44	121455	451808	42903	8	487885	1223458	2041049	362649	672317	8	8	772879	495067	784243	391536	765760	939945	68051	25631	137802	0	250026	0	780291	1476294	2795061	6766	231236	22860	1616451	0	2	1026609	3126	930	152232	1282137	461721	281010	67017	21009	0	557128	3389	643	0	1753928	0	0	10	2	0	0	0	0	0	0	0	4	0	8	0	0	34	46	0	0	63	0	0	0	2	456	0	340	0	112	2	74	2	0	0	0	0	0	0	0	0	74	0	12	0	0	0	2	759112	897511	180	350393	0	593689	0	642593	0	8	621303	6	2	211300	1746803	248789	490946	194	0	244893	833384	388921	7068	1518675	90527	0	15917	0	985053	816855	1003085	1447941	2346160	2006759	1802059	1688117	919840	0	0	16	660053	1481396	1750274	442672	854827	52772	58	2047878	0	59	0	0	18	0	0	0	0	0	0	0	4	0	0	0	0	2	2	0	32	16	0	2	40	0	0	0	4	0	0	2	40	0	12	0	0	0	0	0	0	0	30	0	14	226	16	0
