sequence_id	M301474.lib1	M301475.lib1	M301476.lib1	M301477.lib1	M301478.lib1	M301479.lib1	M301480.lib1	M301481.lib1	M301482.lib1	M301483.lib1	M301484.lib1	M301485.lib1	M301486.lib1	M301487.lib1	M301488.lib1	M301489.lib1	M301490.lib1	M301491.lib1	M301492.lib1	M301493.lib1	M301494.lib1	M301495.lib1	M301496.lib1	M301497.lib1	M301498.lib1	M301499.lib1	M301500.lib1	M301501.lib1	M301502.lib1	M301503.lib1	M301504.lib1	M301505.lib1	M301506.lib1	M301507.lib1	M301508.lib1	M301509.lib1	M301510.lib1	M301511.lib1	M301512.lib1	M301513.lib1	M301514.lib1	M301515.lib1	M301516.lib1	M301517.lib1	M301518.lib1	M301519.lib1	M301520.lib1	M301521.lib1	M301522.lib1	M301523.lib1	M301524.lib1	M301525.lib1	M301526.lib1	M301527.lib1	M301528.lib1	M301529.lib1	M301530.lib1	M301531.lib1	M301532.lib1	M301533.lib1	M301534.lib1	M301535.lib1	M301536.lib1	M301537.lib1	M301538.lib1	M301539.lib1	M301540.lib1	M301541.lib1	M301542.lib1	M301543.lib1	M301544.lib1	M301545.lib1	M301546.lib1	M301547.lib1	M301548.lib1	M301549.lib1	M301550.lib1	M301551.lib1	M301552.lib1	M301553.lib1	M301554.lib1	M301555.lib1	M301556.lib1	M301557.lib1	M301558.lib1	M301559.lib1	M301560.lib1	M301561.lib1	M301562.lib1	M301563.lib1	M301564.lib1	M301565.lib1	M301566.lib1	M301567.lib1	M301568.lib1	M301569.lib1
D300418:bin_000013	255	0	172	191	183	0	173	208	192	57	219	159	153	124	0	226	137	73	0	299	220	0	320	142	0	308	2	0	0	249	206	369	205	0	0	65	284	0	0	60	88	170	126	0	0	0	0	89	154	170	161	0	293	164	146	0	260	310	237	8	0	190	142	145	238	0	175	148	191	0	123	320	0	197	216	349	0	163	0	35	197	128	255	85	0	0	266	79	0	0	321	2	28	147	0	0
D300429:bin_000001	5249	0	4789	4109	5414	0	4120	1684	4241	928	5006	4068	4210	6322	14	5123	5555	3414	1	5303	4433	6	7025	5500	21	7235	188	3194	10	4510	5103	5269	5520	485	3656	6388	4903	289	3	4508	3835	3428	3588	6	43	1105	4	4383	3967	4254	4221	17	7480	4142	3547	0	5280	6643	5080	56	185	5086	5021	4401	5012	0	4800	6043	4702	36	4502	8106	4	5854	5282	6505	120	6293	0	4621	3447	4601	5732	1994	10	10	3687	4029	2652	15	8296	4544	3580	4535	4	2893
D300432:bin_000001	1456	0	1229	1210	1356	0	1448	924	1392	253	1526	1365	1252	1417	2	1641	1745	1372	10	1734	1496	20	2008	1605	13	1821	2	719	2	1524	1473	1363	1619	0	1297	1735	1364	100	0	1576	1861	894	829	0	115	437	176	1074	1137	1155	1344	31	2259	1525	1257	0	1586	2081	1637	16	28	1561	2029	1627	1512	0	1914	1710	1392	2	1420	2607	1	1514	1485	2754	1	1955	0	1421	1177	1892	2056	1124	4	6	1462	1856	1037	0	1647	1739	1507	1694	4	1614
D300440:bin_000012	17481	6	15794	15069	16397	1	14887	14762	16333	4907	16933	15712	15092	15797	28	17344	23329	14187	161	17513	18114	7	26893	18486	62	14691	339	7912	37	19680	17239	19755	17302	232	16156	14319	17507	2091	17	13922	19335	10185	5675	36	3122	3280	530	19476	13910	14197	14966	139	27516	17079	13256	3	20464	25483	19247	247	620	19710	38569	22323	15916	4	18434	16921	19437	26	23086	25777	10	21896	18149	27925	442	19924	7	13847	30070	15772	21135	18092	13	39	19725	16151	20497	36	16222	21090	13897	16681	12	11707
D300442:bin_000001	0	0	0	2	0	0	0	0	0	2	0	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0
D300443:bin_000002	4573	0	2319	1964	2413	0	3280	2878	3067	536	3472	2995	2668	3053	32	3889	2836	4973	0	2611	3585	0	4464	4309	19	10602	24	1952	8	4679	2950	2939	3559	6	2946	5454	3178	606	4	3808	1887	1703	1644	8	1362	1066	5	2884	2290	2595	2564	6	3967	3014	2844	0	3326	3705	2329	17	94	2417	3392	3979	3923	2	5091	3389	2542	9	2697	5441	0	5120	5031	8476	4	2860	1	3477	2732	1647	2442	1016	5	16	1765	2225	3755	11	3244	3055	2595	2334	4	3779
D300444:bin_000010	116437	37	114056	109107	134751	11	111945	78917	110477	29847	109946	92945	109428	108966	118	133005	141767	105776	686	135147	99156	628	141179	142171	498	128970	4714	69347	254	107171	114240	134050	156189	649	122553	99790	81089	12851	98	139683	134187	161856	39439	238	363	54781	256	82246	103727	108884	112727	1129	183035	132611	93294	21	158252	170529	148503	1621	3420	135301	180673	132965	127890	46	120030	113539	158866	459	121314	190097	103	108587	147047	183351	1863	122950	49	119811	168653	142306	179895	90844	132	341	139337	77002	138040	261	108163	136276	69588	96385	80	54182
D300459:bin_000001	109	0	86	70	118	0	78	45	78	31	112	34	99	135	0	64	101	85	0	96	78	0	145	131	2	34	80	0	0	83	67	57	99	0	27	52	28	0	0	70	114	167	0	0	0	0	2	61	64	82	94	0	144	82	58	0	103	131	79	0	0	114	120	59	91	0	89	137	58	0	59	95	0	89	102	235	0	46	3	63	182	14	146	29	0	0	134	36	0	0	18	140	130	158	0	0
D300463:bin_000012	19867	3	18490	17003	19830	4	17338	12564	18521	4889	18490	15522	16407	21845	69	18770	23597	16226	88	19493	18795	21	28229	19338	86	17443	961	13013	29	19965	19762	24890	20000	46	15822	17004	18132	2039	17	20890	21141	11246	10618	46	2781	5300	253	20072	16052	15723	17257	204	30789	18407	14044	0	22911	27100	24166	283	532	22673	33081	23343	18413	9	19411	19899	19637	54	23836	28644	18	24487	21441	33774	379	21225	10	17106	33959	15600	22146	16311	12	42	20740	12885	20595	47	19787	19733	17347	22861	4	11806
D300464:bin_000017	870145	552	860649	803238	968551	116	740689	554247	688213	213174	744945	625793	642169	708746	1571	770194	783347	670853	4075	914508	810119	1151	1077588	874573	2879	880419	11078	479214	1321	899776	783649	870278	996927	4636	922708	1009891	916453	138878	514	915444	777091	627314	443557	1882	35351	268923	3051	751351	820363	710018	725887	3647	1259503	775008	579501	80	935273	1069188	847269	11763	33456	911775	995194	765712	745541	264	895650	836062	890131	5268	802876	1192770	599	926171	906820	1233780	17175	927292	542	705916	685617	819019	1074867	582721	916	3407	815220	687522	593348	1505	946076	903115	876980	893829	679	682139
