sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
D300418:bin_000013	5673	5475	5472	6614	0	0	4320	6671	3909	5683	5103	0	4689	2859	5482	0	0	5269	4218	5935	0	3524	0	5266	5723	5240	162	2835	4511	2211	0	0	6333	6300	6426	0	4120	0	6012	7814	0	0	0	0	300	0	449	0	6857	0	3803	6109	2965	150	1272	6177	308	3984	0	7029	0	6617	5930	957	6967	0	3763	0	5537	4741	3609	5845	6487	3579	0	6687	3892	4490	6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	111257	121066	101591	103337	459	1555	90471	117998	99719	91165	84736	1628	82575	78768	95135	300	1676	94217	83105	112754	1465	62539	1261	103025	110431	110757	2936	50664	98071	70440	0	638	116794	103360	92278	1117	98015	960	111195	115119	2011	623	2874	1990	4763	150	2206	292	107602	1972	99522	106226	98106	3082	33726	128601	10263	101330	750	120748	903	109549	104276	14834	118208	3595	93472	1958	85699	88512	106137	104804	95456	90759	293	97035	89970	86939	113012	973	582	300	0	150	152	0	0	0	625	300	300	292	278	0
D300432:bin_000001	12454	14130	12254	12007	0	895	11985	14507	16518	13365	12353	528	11968	11665	13587	0	534	12368	15062	14752	150	10910	0	11776	10894	13349	1003	11428	13608	11677	0	0	14256	13229	15241	1183	15665	993	13472	15156	794	0	1205	173	1823	0	0	0	13894	423	13584	12139	12897	1150	7337	16301	2961	9924	685	12852	922	13085	15236	1814	12502	2099	14071	738	12672	13787	11627	12817	13675	13080	412	13456	14186	12687	17664	0	300	257	0	0	0	150	0	413	0	0	218	0	0	0
D300440:bin_000012	98637	101288	102078	104749	1716	3724	106970	104886	106779	116844	95508	8211	103117	89807	105406	473	1394	99262	99484	109313	6921	84618	663	117790	126589	110167	7092	88103	112782	87207	1134	2565	110632	118936	97352	5127	105561	1865	130845	122664	4396	2562	7517	8627	13487	407	5981	2020	127262	5195	106571	117258	96177	12494	59796	117168	31901	89497	7886	108047	5170	109550	101886	37541	109853	10487	99020	8143	98219	102512	94052	112324	95038	103143	876	101895	99187	100589	118411	1934	3325	2017	397	199	300	252	160	900	544	684	114	811	766	418
D300442:bin_000001	0	0	0	135	0	0	0	0	165	0	0	0	0	0	0	0	0	291	150	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300443:bin_000002	28936	330051	292640	91360	150	521	48280	172677	30150	26964	24895	1834	214295	27354	27679	347	0	60481	24731	170997	1803	23636	760	27314	37964	28379	1366	23400	26545	24137	0	0	92183	235979	26752	697	39560	0	28853	134857	1255	583	1845	228	3010	0	1034	0	35147	659	69065	27904	47080	4233	14225	33102	4412	21417	2186	27489	1546	68600	121458	5042	60865	3000	173878	1885	32388	27518	27806	131901	29933	132899	380	27653	25472	26386	102393	485	449	994	0	0	0	0	0	0	0	600	254	0	260	0
D300444:bin_000010	2674159	2811342	2665908	2792403	19208	26702	2664411	2861666	2731753	2494995	2273568	49536	2563661	2222422	2535374	4414	15720	2534133	2417379	2807477	62284	1832893	11431	2761853	2776792	2736431	48929	2288020	2461267	1517048	3910	9038	2738271	2832236	2634706	41889	2728654	18732	2864966	2867050	40454	13225	59805	61620	95204	6718	44509	13783	2840974	41818	2815816	2762140	2470589	104539	580813	2840319	293397	2337539	51467	2705532	48066	2743436	2794000	213145	2853335	75005	2655394	61348	2790789	2765860	2576833	2832678	2409624	2610446	11539	2665408	2513920	2546633	2860261	22368	18416	23560	2413	3268	2850	2075	1766	3418	2317	7474	4113	3422	4182	2833
D300459:bin_000001	4400	4101	4890	6796	0	0	4600	7090	5158	3415	3757	0	4791	3268	3481	0	121	4571	4958	6621	0	1781	0	5493	5894	4975	0	5133	5432	1658	273	0	4537	5695	6089	0	5508	228	6782	7014	0	0	150	0	0	0	300	0	4682	150	6413	4955	5840	300	1009	5264	0	4135	227	6167	0	4333	6498	150	4730	0	6009	0	3649	4372	3792	6525	4524	3776	0	5228	5550	6143	6631	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300463:bin_000012	290369	334379	316936	314803	3388	5295	254437	355603	296460	287749	260432	6035	284781	253545	275147	637	2636	278003	275254	321290	11379	188805	1402	298028	325277	296542	8194	141484	270003	181976	1828	1417	324050	327720	312128	6978	310559	2094	356875	363855	6572	935	9053	8993	13762	1081	7734	2955	326876	8085	319557	328856	266511	14962	92558	334434	32803	260505	6888	341218	7998	323509	324597	36094	327674	12254	304249	8589	289528	313401	278755	326502	281976	283756	1527	302847	266297	300965	355187	2005	2620	2054	564	2016	150	450	150	692	871	1680	342	722	0	626
D300464:bin_000017	2467509	2472983	2470534	2473493	94473	165583	2464815	2479934	2464719	2461815	2457965	250598	2464240	2449071	2469703	22845	85514	2464281	2460295	2473083	353167	2432415	59444	2468583	2477567	2466798	312667	2427816	2464917	2438635	20148	48644	2470334	2474150	2469314	227302	2467867	143566	2480605	2481644	192142	78183	283028	311899	558216	32671	213370	66802	2475267	255256	2473380	2476824	2462772	544551	1983681	2473653	1039199	2459797	280873	2475628	245666	2473757	2475076	963116	2475375	408601	2466505	320085	2468025	2470947	2460066	2476842	2467137	2462375	68976	2471149	2463726	2464120	2476623	100048	101859	119865	15993	20025	9760	19801	9603	23497	17970	57714	20778	33411	15630	18019
