sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
D300418:bin_000013	257	158	363	354	0	0	233	288	168	164	339	0	215	134	189	0	0	299	288	171	0	296	0	211	284	189	2	168	241	81	0	0	318	308	473	0	194	0	330	375	0	0	0	0	2	0	3	0	485	0	178	339	225	2	68	279	10	236	0	336	0	306	279	26	377	0	308	0	297	281	233	338	339	210	0	339	304	239	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	6215	6303	6009	7098	4	13	6316	6204	6238	6368	8101	13	6294	5212	6744	2	20	5892	6855	7124	13	4697	9	5999	8365	9012	30	2493	7094	4756	0	6	8762	6534	7513	9	6698	12	8042	7478	18	7	26	21	48	1	18	2	8536	23	8279	7235	6903	36	2487	8162	340	7515	5	10116	7	6971	6322	569	9460	40	9690	15	6244	5375	7765	7698	6351	6408	4	8136	5907	7181	6478	7	10	2	0	1	2	0	0	0	5	2	2	2	2	0
D300432:bin_000001	1937	1678	2469	1915	0	11	2090	1914	2396	2324	2572	4	1945	1752	2377	0	4	2139	2435	2591	1	1958	0	1848	2780	2229	15	2876	2544	1580	0	0	2859	2231	2476	12	2202	18	2814	2537	6	0	9	2	28	0	0	0	2844	3	2192	2277	3210	9	502	2374	212	2222	6	2861	9	1913	2107	69	2667	20	4352	20	2229	2255	1896	2435	2336	2743	3	2199	2588	2433	2137	0	14	2	0	0	0	1	0	4	0	0	2	0	0	0
D300440:bin_000012	20936	19775	26420	22180	19	56	22620	22735	24687	23370	22443	85	27803	16109	23851	5	11	22238	25337	26057	87	22360	5	22759	23957	26099	94	94458	25794	22373	8	21	28208	27503	26431	57	25497	28	35953	32820	43	25	59	85	153	3	47	21	30681	61	33914	28539	29029	114	9743	25675	1931	23773	92	29705	44	23664	24477	2949	31165	130	41007	94	30479	30457	28792	29420	28111	26375	11	29243	28307	28397	22502	20	62	15	8	2	2	2	2	6	4	9	2	8	8	3
D300442:bin_000001	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300443:bin_000002	3964	6563	9534	4066	6	8	3060	4062	5145	3873	3305	21	8934	2067	3644	3	0	4392	3614	5780	15	5320	32	2946	1630	4353	22	3741	3843	3886	0	0	8408	5920	3377	8	3385	0	3497	4706	9	4	19	2	38	0	8	0	4737	8	4235	2528	4596	36	1956	3556	220	2982	21	3831	11	3868	4202	389	5753	31	11877	23	4071	3251	3112	5309	9582	7095	22	4524	3957	4417	3803	4	8	13	0	0	0	0	0	0	0	4	2	0	2	0
D300444:bin_000010	149940	142190	182108	208757	241	296	181711	190466	179678	162168	174947	509	181105	139034	141540	40	159	167219	172268	183260	717	175545	104	163999	223857	216983	525	245787	174667	92885	31	75	247962	183376	200518	478	176980	251	271338	218316	374	126	531	551	1171	58	362	117	265120	460	222031	204759	189385	932	59775	206781	20394	197909	601	182214	493	167765	167897	15592	277479	834	295961	709	227851	183265	187382	262160	160414	179560	170	211227	181720	179686	158706	184	375	195	20	32	45	18	15	32	23	70	50	29	31	22
D300459:bin_000001	100	71	123	120	0	0	93	175	123	88	114	0	109	47	75	0	1	163	140	173	0	68	0	108	203	169	0	209	158	37	6	0	128	103	168	0	109	10	200	168	0	0	1	0	0	0	2	0	91	1	143	103	200	2	70	125	0	144	2	151	0	104	129	3	124	0	205	0	74	83	123	192	92	77	0	126	192	233	104	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300463:bin_000012	22209	22416	31251	26518	51	60	23045	28743	27145	26069	25955	66	31723	20488	24059	6	25	24708	29336	27766	126	21687	14	23785	29296	28284	87	77795	26641	22758	14	11	35053	28441	32841	62	28677	29	40575	35767	61	8	94	78	160	16	63	26	34275	156	37665	33374	30190	140	9976	26994	2268	27766	64	34096	86	26707	27984	2947	33502	106	43811	89	32446	33215	30439	33662	31780	25872	46	32317	28729	31581	24484	50	31	18	5	19	1	3	1	6	7	17	3	5	0	5
D300464:bin_000017	1002483	806256	1024385	994564	1021	1884	1076457	1241136	991862	1065476	1232877	2615	1033796	876332	1052320	208	832	957651	1141698	1142352	4138	887747	649	917139	1640795	1185824	3578	709516	1096644	761874	162	459	1231050	1123869	1241201	2594	1134581	1772	1525815	1304382	1874	676	2708	2952	6762	330	1831	588	1296170	5225	1107993	1224920	1392596	5743	351708	1032818	78171	1126380	3046	1351642	2548	1072662	1090553	67973	1464572	4823	1862914	3505	1069508	1064536	970435	1350591	1108700	951292	1346	1266738	1185674	1152741	1007228	966	1730	990	164	177	81	200	101	244	177	556	213	308	153	158
