Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M300800.lib1_1	M300800.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	147801.0	22.1 Mbp	0.0	150.0	53.0	22.59389314010054	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	fail
M300800.lib1_2	M300800.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	147801.0	22.1 Mbp	0.0	150.0	54.0	21.349652573392603	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	fail
M300801.lib1_1	M300801.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8413683.0	1.2 Gbp	0.0	150.0	54.0	60.714327099689605	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	warn
M300801.lib1_2	M300801.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8413683.0	1.2 Gbp	0.0	150.0	54.0	59.09013783262211	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	warn	warn	warn
M300803.lib1_1	M300803.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7622329.0	1.1 Gbp	0.0	150.0	53.0	52.8674788922599	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	warn
M300803.lib1_2	M300803.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7622329.0	1.1 Gbp	0.0	150.0	53.0	51.54939295657856	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	warn
M300804.lib1_1	M300804.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1333366.0	200 Mbp	0.0	150.0	50.0	86.45905383183393	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
M300804.lib1_2	M300804.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1333366.0	200 Mbp	0.0	150.0	51.0	85.3039974522115	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
M300805.lib1_1	M300805.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	236970.0	35.5 Mbp	0.0	150.0	54.0	21.584588766510528	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	fail
M300805.lib1_2	M300805.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	236970.0	35.5 Mbp	0.0	150.0	54.0	20.07891294256657	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	fail
M300806.lib1_1	M300806.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472669.0	1.1 Gbp	0.0	150.0	52.0	50.31677861445076	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	warn
M300806.lib1_2	M300806.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472669.0	1.1 Gbp	0.0	150.0	53.0	48.88482624415151	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	warn
M300807.lib1_1	M300807.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6558853.0	983.8 Mbp	0.0	150.0	54.0	17.477284014690444	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	warn
M300807.lib1_2	M300807.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6558853.0	983.8 Mbp	0.0	150.0	54.0	16.39799029352269	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	warn
M300808.lib1_1	M300808.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4425641.0	663.8 Mbp	0.0	150.0	51.0	82.50871950181215	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
M300808.lib1_2	M300808.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4425641.0	663.8 Mbp	0.0	150.0	52.0	81.3618092333363	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
M300809.lib1_1	M300809.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10689010.0	1.6 Gbp	0.0	150.0	52.0	66.68938353601096	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	pass
M300809.lib1_2	M300809.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10689010.0	1.6 Gbp	0.0	150.0	53.0	65.27499942373875	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
M300810.lib1_1	M300810.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6342093.0	951.3 Mbp	0.0	150.0	53.0	45.94892837409326	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	pass
M300810.lib1_2	M300810.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6342093.0	951.3 Mbp	0.0	150.0	53.0	44.59163915777988	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
M300811.lib1_1	M300811.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8325798.0	1.2 Gbp	0.0	150.0	53.0	49.50407549093056	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	warn
M300811.lib1_2	M300811.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8325798.0	1.2 Gbp	0.0	150.0	53.0	48.21431551727661	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	warn
M300812.lib1_1	M300812.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24821.0	3.7 Mbp	0.0	150.0	56.0	24.527617743040167	150.0	150	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
M300812.lib1_2	M300812.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24821.0	3.7 Mbp	0.0	150.0	57.0	23.633213810885945	150.0	150	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
M300813.lib1_1	M300813.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1384724.0	207.7 Mbp	0.0	150.0	52.0	11.04551506505979	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	fail
M300813.lib1_2	M300813.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1384724.0	207.7 Mbp	0.0	150.0	52.0	10.6986615970597	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	fail
M300814.lib1_1	M300814.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7443260.0	1.1 Gbp	0.0	150.0	53.0	63.16179410813062	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	warn
