Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
GRCg7b | M300800.lib1	239174	0	0	0	0	0	0	0	2608	0	1.09	nan	239174	0	119587	0	119587	0	2472	0	1.03	nan	2546	0	62	0	0.03	nan	2	0	2	0	239174
GRCg7b | M300801.lib1	16503562	0	0	0	0	0	0	0	1825	0	0.01	nan	16503562	0	8251781	0	8251781	0	418	0	0.0	nan	420	0	1405	0	0.01	nan	0	0	0	0	16503562
GRCg7b | M300803.lib1	15023870	0	0	0	0	0	0	0	941	0	0.01	nan	15023870	0	7511935	0	7511935	0	390	0	0.0	nan	394	0	547	0	0.0	nan	0	0	0	0	15023870
GRCg7b | M300804.lib1	2564416	0	0	0	0	0	0	0	177	0	0.01	nan	2564416	0	1282208	0	1282208	0	8	0	0.0	nan	8	0	169	0	0.01	nan	0	0	0	0	2564416
GRCg7b | M300805.lib1	405670	0	0	0	0	0	0	0	504	0	0.12	nan	405670	0	202835	0	202835	0	410	0	0.1	nan	442	0	62	0	0.02	nan	0	0	0	0	405670
GRCg7b | M300806.lib1	14736046	0	0	0	0	0	0	0	5733	0	0.04	nan	14736046	0	7368023	0	7368023	0	4820	0	0.03	nan	4948	0	785	0	0.01	nan	2	0	1	0	14736046
GRCg7b | M300807.lib1	12856222	0	0	0	0	0	0	0	6286	0	0.05	nan	12856222	0	6428111	0	6428111	0	5374	0	0.04	nan	5490	0	796	0	0.01	nan	20	0	8	0	12856222
GRCg7b | M300808.lib1	8676452	0	0	0	0	0	0	0	313535	0	3.61	nan	8676452	0	4338226	0	4338226	0	288482	0	3.32	nan	310416	0	3119	0	0.04	nan	412	0	149	0	8676452
GRCg7b | M300809.lib1	20984064	0	0	0	0	0	0	0	97407	0	0.46	nan	20984064	0	10492032	0	10492032	0	90702	0	0.43	nan	94300	0	3107	0	0.01	nan	118	0	29	0	20984064
GRCg7b | M300810.lib1	12453738	0	0	0	0	0	0	0	2275	0	0.02	nan	12453738	0	6226869	0	6226869	0	1284	0	0.01	nan	1380	0	895	0	0.01	nan	2	0	1	0	12453738
GRCg7b | M300811.lib1	16403838	0	0	0	0	0	0	0	2946	0	0.02	nan	16403838	0	8201919	0	8201919	0	2352	0	0.01	nan	2402	0	544	0	0.0	nan	0	0	0	0	16403838
GRCg7b | M300812.lib1	3300	0	0	0	0	0	0	0	11	0	0.33	nan	3300	0	1650	0	1650	0	10	0	0.3	nan	10	0	1	0	0.03	nan	0	0	0	0	3300
GRCg7b | M300813.lib1	616022	0	0	0	0	0	0	0	284	0	0.05	nan	616022	0	308011	0	308011	0	226	0	0.04	nan	226	0	58	0	0.01	nan	0	0	0	0	616022
GRCg7b | M300814.lib1	14619186	0	0	0	0	0	0	0	671	0	0.0	nan	14619186	0	7309593	0	7309593	0	114	0	0.0	nan	118	0	553	0	0.0	nan	0	0	0	0	14619186
GRCg7b | M300815.lib1	12297064	0	0	0	0	0	0	0	3399	0	0.03	nan	12297064	0	6148532	0	6148532	0	2504	0	0.02	nan	2592	0	807	0	0.01	nan	0	0	0	0	12297064
GRCg7b | M300816.lib1	18997786	0	0	0	0	0	0	0	776299	0	4.09	nan	18997786	0	9498893	0	9498893	0	730332	0	3.84	nan	766606	0	9693	0	0.05	nan	1206	0	465	0	18997786
GRCg7b | M300817.lib1	1031374	0	0	0	0	0	0	0	1143	0	0.11	nan	1031374	0	515687	0	515687	0	996	0	0.1	nan	1052	0	91	0	0.01	nan	12	0	2	0	1031374
GRCg7b | M300818.lib1	18235964	0	0	0	0	0	0	0	1555	0	0.01	nan	18235964	0	9117982	0	9117982	0	66	0	0.0	nan	66	0	1489	0	0.01	nan	0	0	0	0	18235964
GRCg7b | M300819.lib1	11807886	0	0	0	0	0	0	0	765	0	0.01	nan	11807886	0	5903943	0	5903943	0	152	0	0.0	nan	152	0	613	0	0.01	nan	0	0	0	0	11807886
GRCg7b | M300820.lib1	11937282	0	0	0	0	0	0	0	386	0	0.0	nan	11937282	0	5968641	0	5968641	0	62	0	0.0	nan	62	0	324	0	0.0	nan	0	0	0	0	11937282
GRCg7b | M300821.lib1	14528090	0	0	0	0	0	0	0	5550	0	0.04	nan	14528090	0	7264045	0	7264045	0	4408	0	0.03	nan	4472	0	1078	0	0.01	nan	2	0	0	0	14528090
GRCg7b | M300822.lib1	14582010	0	0	0	0	0	0	0	653	0	0.0	nan	14582010	0	7291005	0	7291005	0	174	0	0.0	nan	176	0	477	0	0.0	nan	0	0	0	0	14582010
GRCg7b | M300823.lib1	2483630	0	0	0	0	0	0	0	291275	0	11.73	nan	2483630	0	1241815	0	1241815	0	266956	0	10.75	nan	284472	0	6803	0	0.27	nan	710	0	247	0	2483630
GRCg7b | M300824.lib1	11150872	0	0	0	0	0	0	0	75188	0	0.67	nan	11150872	0	5575436	0	5575436	0	68940	0	0.62	nan	73804	0	1384	0	0.01	nan	112	0	32	0	11150872
GRCg7b | M300825.lib1	10644050	0	0	0	0	0	0	0	445	0	0.0	nan	10644050	0	5322025	0	5322025	0	138	0	0.0	nan	138	0	307	0	0.0	nan	0	0	0	0	10644050
GRCg7b | M300826.lib1	138154	0	0	0	0	0	0	0	372	0	0.27	nan	138154	0	69077	0	69077	0	354	0	0.26	nan	356	0	16	0	0.01	nan	0	0	0	0	138154
GRCg7b | M300827.lib1	4962896	0	0	0	0	0	0	0	1156	0	0.02	nan	4962896	0	2481448	0	2481448	0	934	0	0.02	nan	954	0	202	0	0.0	nan	0	0	0	0	4962896
GRCg7b | M300828.lib1	9479438	0	0	0	0	0	0	0	1019	0	0.01	nan	9479438	0	4739719	0	4739719	0	114	0	0.0	nan	114	0	905	0	0.01	nan	0	0	0	0	9479438
GRCg7b | M300829.lib1	11453714	0	0	0	0	0	0	0	5231	0	0.05	nan	11453714	0	5726857	0	5726857	0	4470	0	0.04	nan	4596	0	635	0	0.01	nan	8	0	4	0	11453714
GRCg7b | M300830.lib1	420370	0	0	0	0	0	0	0	39868	0	9.48	nan	420370	0	210185	0	210185	0	38028	0	9.05	nan	39460	0	408	0	0.1	nan	14	0	1	0	420370
GRCg7b | M300831.lib1	14495770	0	0	0	0	0	0	0	705	0	0.0	nan	14495770	0	7247885	0	7247885	0	220	0	0.0	nan	240	0	465	0	0.0	nan	0	0	0	0	14495770
GRCg7b | M300832.lib1	662142	0	0	0	0	0	0	0	434986	0	65.69	nan	662142	0	331071	0	331071	0	379232	0	57.27	nan	430774	0	4212	0	0.64	nan	1156	0	402	0	662142
GRCg7b | M300833.lib1	8889610	0	0	0	0	0	0	0	1129383	0	12.7	nan	8889610	0	4444805	0	4444805	0	1046706	0	11.77	nan	1116930	0	12453	0	0.14	nan	1690	0	568	0	8889610
GRCg7b | M300834.lib1	11681908	0	0	0	0	0	0	0	7984	0	0.07	nan	11681908	0	5840954	0	5840954	0	7150	0	0.06	nan	7280	0	704	0	0.01	nan	14	0	1	0	11681908
GRCg7b | M300835.lib1	12313220	0	0	0	0	0	0	0	85693	0	0.7	nan	12313220	0	6156610	0	6156610	0	79940	0	0.65	nan	83696	0	1997	0	0.02	nan	80	0	26	0	12313220
GRCg7b | M300836.lib1	17673528	0	0	0	0	0	0	0	7834	0	0.04	nan	17673528	0	8836764	0	8836764	0	7130	0	0.04	nan	7236	0	598	0	0.0	nan	14	0	1	0	17673528
GRCg7b | M300837.lib1	9333560	0	0	0	0	0	0	0	28041	0	0.3	nan	9333560	0	4666780	0	4666780	0	25762	0	0.28	nan	27482	0	559	0	0.01	nan	30	0	9	0	9333560
