Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M300800.lib1	236478.0	0.0	236478.0	1.0	118239.0	118239.0	184285.0	182136.0	52193.0	177308.0	236478.0	0.0	4291.0	0.0	0.0	0.0	34450118.0	17224311.0	17225807.0	26993797.0	26993797.0	0.0	0.0	210710.0	0.007805868	146.0	146.0	146.0	150.0	150.0	150.0	39.1	222.0	81.6	82578.0	7716.0	146.0	628.0	75.0	77.92902511015824	77.02027249892167	22.07097488984176	74.97864494794442	100.0	0.0	1.8145451162476	0.0
REF0009-mgg-pbdrep | M300801.lib1	16499476.0	0.0	16499476.0	1.0	8249738.0	8249738.0	14348172.0	14201876.0	2151304.0	13685190.0	16499476.0	0.0	331660.0	0.0	0.0	0.0	2424927146.0	1212453523.0	1212473623.0	2108612487.0	2108612487.0	0.0	0.0	15859498.0	0.007521296	147.0	147.0	147.0	150.0	150.0	150.0	39.1	228.6	86.7	6496370.0	534124.0	3988.0	66456.0	82.9	86.96137986442722	86.07470928167659	13.03862013557279	82.94317952885292	100.0	0.0	2.0101244427398783	0.0
REF0009-mgg-pbdrep | M300803.lib1	15022004.0	0.0	15022004.0	1.0	7511002.0	7511002.0	13012416.0	12876796.0	2009588.0	12513458.0	15022004.0	0.0	290174.0	0.0	0.0	0.0	2219224512.0	1109604564.0	1109619948.0	1922242368.0	1922242368.0	0.0	0.0	13980991.0	0.007273272	148.0	148.0	148.0	150.0	150.0	150.0	39.1	236.1	83.9	6001072.0	383807.0	4299.0	49220.0	83.3	86.62237075692431	85.71956178416674	13.377629243075692	83.30085653019398	100.0	0.0	1.9316597173053607	0.0
REF0009-mgg-pbdrep | M300804.lib1	2563978.0	0.0	2563978.0	1.0	1281989.0	1281989.0	2192726.0	2163900.0	371252.0	2003982.0	2563978.0	0.0	46252.0	0.0	0.0	0.0	382021857.0	191009620.0	191012237.0	326704801.0	326704801.0	0.0	0.0	2515287.0	0.007698959	149.0	149.0	149.0	150.0	150.0	150.0	38.9	281.2	100.3	1031296.0	29801.0	914.0	19939.0	78.2	85.52046858436383	84.39619996739441	14.47953141563617	78.15909496883359	100.0	0.0	1.8039156342215104	0.0
REF0009-mgg-pbdrep | M300805.lib1	405014.0	0.0	405014.0	1.0	202507.0	202507.0	316459.0	308848.0	88555.0	294312.0	405014.0	0.0	8743.0	0.0	0.0	0.0	59133575.0	29566343.0	29567232.0	46436723.0	46436723.0	0.0	0.0	406888.0	0.008762203	146.0	146.0	146.0	150.0	150.0	150.0	39.0	233.7	91.8	139977.0	11478.0	1006.0	1963.0	72.7	78.13532371720484	76.25612941774853	21.864676282795163	72.66711767988268	100.0	0.0	2.1586908106880256	0.0
REF0009-mgg-pbdrep | M300806.lib1	14729070.0	0.0	14729070.0	1.0	7364535.0	7364535.0	12720518.0	12600070.0	2008552.0	12308566.0	14729070.0	0.0	288447.0	0.0	0.0	0.0	2167402413.0	1083694377.0	1083708036.0	1871683718.0	1871683718.0	0.0	0.0	13348030.0	0.007131563	147.0	147.0	147.0	150.0	150.0	150.0	39.2	228.7	82.1	5798618.0	458346.0	2665.0	40406.0	83.6	86.36334812720693	85.54559113372399	13.636651872793054	83.56648450988419	100.0	0.0	1.9583517492957805	0.0
REF0009-mgg-pbdrep | M300807.lib1	12848606.0	0.0	12848606.0	1.0	6424303.0	6424303.0	10899415.0	10717932.0	1949191.0	10370092.0	12848606.0	0.0	285957.0	0.0	0.0	0.0	1890049770.0	945011888.0	945037882.0	1603779388.0	1603779388.0	0.0	0.0	13594208.0	0.008476358	147.0	147.0	147.0	150.0	150.0	150.0	39.1	233.2	86.3	4928716.0	372281.0	13535.0	44434.0	80.7	84.82955271567981	83.41708042101999	15.170447284320183	80.70986066504024	100.0	0.0	2.2255877408023874	0.0
REF0009-mgg-pbdrep | M300808.lib1	8359438.0	0.0	8359438.0	1.0	4179719.0	4179719.0	7174224.0	7090820.0	1185214.0	6770672.0	8359438.0	0.0	156614.0	0.0	0.0	0.0	1245525449.0	622761612.0	622763837.0	1069023500.0	1069023500.0	0.0	0.0	7970283.0	0.007455667	149.0	149.0	149.0	150.0	150.0	150.0	39.1	268.5	90.2	3402692.0	98500.0	1986.0	42232.0	81.0	85.82184591835002	84.82412334417695	14.178154081649986	80.99434435664216	100.0	0.0	1.8734991514979835	0.0
REF0009-mgg-pbdrep | M300809.lib1	20882942.0	0.0	20882942.0	1.0	10441471.0	10441471.0	18012150.0	17808472.0	2870792.0	16830336.0	20882942.0	0.0	401591.0	0.0	0.0	0.0	3101942536.0	1550964722.0	1550977814.0	2675618477.0	2675618477.0	0.0	0.0	20576702.0	0.007690447	149.0	149.0	149.0	150.0	150.0	150.0	39.0	260.6	95.2	8425669.0	347210.0	5371.0	125986.0	80.6	86.25293313557066	85.27760121155343	13.74706686442935	80.59370178780365	100.0	0.0	1.9230575845108413	0.0
REF0009-mgg-pbdrep | M300810.lib1	12450100.0	0.0	12450100.0	1.0	6225050.0	6225050.0	10858170.0	10739066.0	1591930.0	10237026.0	12450100.0	0.0	227810.0	0.0	0.0	0.0	1850590378.0	925293452.0	925296926.0	1614030590.0	1614030590.0	0.0	0.0	11822436.0	0.007324791	149.0	149.0	149.0	150.0	150.0	150.0	39.1	255.8	91.8	5100051.0	206247.0	3006.0	60229.0	82.2	87.21351635729833	86.25686540670357	12.786483642701665	82.22444799640164	100.0	0.0	1.8297844997228938	0.0
