microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection	collection_attempts	cycles	animal	protocol
M300554	105	45.801911787003085	3.922630064732186	Caecum right	Positive	MSEB0006	G121eI101B	B11	74953.32504	27445.67052	5000	Success	3	13	G121e	ULV2_Full
M300555	3	2.6544410201155753	1.6597257600107675	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72020.27964	33695.1438	5000	Success	1	13	G121e	ULV2_Full
M300556	3	2.9212473073986653	1.816235966770604	Caecum right	Positive	MSEB0006	G121eI101B	B11	75415.38696	27819.35016	5000	Success	1	13	G121e	ULV2_Full
M300557	81	43.169578864090994	3.722938081169885	Caecum right	Positive	MSEB0006	G121eI101B	B11	76113.47694	28351.84868	5000	Success	1	13	G121e	ULV2_Full
M300558	0	1	0	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300559	105	46.23527450492779	3.9354292151054215	Caecum right	Positive	MSEB0006	G121eI101B	B11	76849.22832	29025.0501	5000	Fail	4	13	G121e	ULV2_Full
M300560	99	44.43730473218946	4.0773465955718065	Caecum right	Positive	MSEB0006	G121eI101B	B11	75971.70494	29352.8578	5000	Success	1	13	G121e	ULV2_Full
M300561	103	44.311493181224066	4.104157956549784	Caecum right	Positive	MSEB0006	G121eI101B	B11	76680.93738	29558.1605	5000	Success	2	13	G121e	ULV2_Full
M300562	103	46.882732416513804	4.032816424703621	Caecum right	Positive	MSEB0006	G121eI101B	B11	74883.31786	29170.1824	5000	Success	2	13	G121e	ULV2_Full
M300563	109	47.05996038650476	4.001491278076196	Caecum right	Positive	MSEB0006	G121eI101B	B11	75220.99184	29120.50912	5000	Success	1	13	G121e	ULV2_Full
M300564	12	10.477468110044862	2.9645305684956647	Caecum right	Positive	MSEB0006	G121eI101B	B11	75894.6174	29134.85928	5000	Success	1	13	G121e	ULV2_Full
M300565	0	1	0	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72986.8124	36482.19968	5000	Success	1	13	G121e	ULV2_Full
M300566	93	43.05984737417271	3.7721488166653123	Caecum right	Positive	MSEB0006	G121eI101B	B11	76922.54096	29224.44992	5000	Success	1	13	G121e	ULV2_Full
M300567	99	44.02911622817021	4.024034826756695	Caecum right	Positive	MSEB0006	G121eI101B	B11	77492.20334	29097.77932	5000	Success	2	13	G121e	ULV2_Full
M300568	0	1	0	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300569	100	46.80577653692967	4.113349882387405	Caecum right	Positive	MSEB0006	G121eI101B	B11	77495.46474	28977.7598	5000	Success	1	13	G121e	ULV2_Full
M300570	100	44.46220367059351	3.96336064744546	Caecum right	Positive	MSEB0006	G121eI101B	B11	74950.84104	28473.11156	5000	Success	2	13	G121e	ULV2_Full
M300571	94	42.482781085289	3.888467612331498	Caecum right	Positive	MSEB0006	G121eI101B	B11	75619.94598	28632.39788	5000	Success	2	13	G121e	ULV2_Full
M300572	56	32.680576669053714	3.75031444759685	Caecum right	Positive	MSEB0006	G121eI101B	B11	76345.93288	29031.8104	5000	Success	4	13	G121e	ULV2_Full
M300573	0	1	0	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	74609.41112	34469.3869	5000	Success	1	13	G121e	ULV2_Full
M300574	97	43.91497785810285	3.9765466970159062	Caecum right	Positive	MSEB0006	G121eI101B	B11	76920.99698	29347.99236	5000	Success	1	13	G121e	ULV2_Full
M300575	0	1	0	Caecum right	NegativeReaction	MSEB0006	G121eI101R	B11	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300576	92	43.15889771909605	3.9646137502434984	Caecum right	Positive	MSEB0006	G121eI101B	B11	77104.53212	29588.78606	5000	Fail	4	13	G121e	ULV2_Full
M300577	103	44.666492242652666	3.987762347812548	Caecum right	Positive	MSEB0006	G121eI101B	B11	77418.89518	29907.91612	5000	Success	1	13	G121e	ULV2_Full
M300578	101	44.52606714660387	3.926927307955409	Caecum right	Positive	MSEB0006	G121eI101B	B12	76897.21194	30198.47874	5000	Success	4	13	G121e	ULV2_Full
M300579	0	1	0	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	73304.2851	36352.33102	5000	Success	2	13	G121e	ULV2_Full
M300580	102	43.7779608050754	3.95126328701531	Caecum right	Positive	MSEB0006	G121eI101B	B12	77026.94014	30039.53134	5000	Success	1	13	G121e	ULV2_Full
M300581	79	39.97563921438097	3.8833587174690387	Caecum right	Positive	MSEB0006	G121eI101B	B12	77028.59698	29718.1991	5000	Success	1	13	G121e	ULV2_Full
