microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection	collection_attempts	cycles	animal	protocol	collection_method
M300554	252	59.048724097340326	4.005425557472137	Caecum right	Positive	MSEB0006	G121eI101B	B11	74953.32504	27445.67052	5000	Success	3	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300555	234	29.591689486057412	3.136402063723101	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72020.27964	33695.1438	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300556	242	52.377340522357805	3.862228011755678	Caecum right	Positive	MSEB0006	G121eI101B	B11	75415.38696	27819.35016	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300557	252	60.8803768440018	3.919625407044125	Caecum right	Positive	MSEB0006	G121eI101B	B11	76113.47694	28351.84868	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300558	147	16.388623036398783	3.0843638756137803	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	NA	0	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300559	252	59.60227800887534	4.019171768036246	Caecum right	Positive	MSEB0006	G121eI101B	B11	76849.22832	29025.0501	5000	Fail	4	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300560	252	58.64528671605175	4.181970992669254	Caecum right	Positive	MSEB0006	G121eI101B	B11	75971.70494	29352.8578	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300561	252	57.105278244694965	4.190660611752367	Caecum right	Positive	MSEB0006	G121eI101B	B11	76680.93738	29558.1605	5000	Success	2	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300562	252	60.37874109931397	4.115130466778564	Caecum right	Positive	MSEB0006	G121eI101B	B11	74883.31786	29170.1824	5000	Success	2	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300563	252	59.64529400437834	4.07259218603542	Caecum right	Positive	MSEB0006	G121eI101B	B11	75220.99184	29120.50912	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300564	246	52.89097016067235	4.203352679695616	Caecum right	Positive	MSEB0006	G121eI101B	B11	75894.6174	29134.85928	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300565	48	13.11352419750196	4.215439861770901	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72986.8124	36482.19968	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300566	251	58.16489767059718	3.8826964913681974	Caecum right	Positive	MSEB0006	G121eI101B	B11	76922.54096	29224.44992	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300567	252	57.81086881112884	4.124295032673534	Caecum right	Positive	MSEB0006	G121eI101B	B11	77492.20334	29097.77932	5000	Success	2	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300568	40	10.63801983473877	2.6358674819334262	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B11	NA	NA	NA	NA	0	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300569	252	60.74511911828587	4.1968337568954786	Caecum right	Positive	MSEB0006	G121eI101B	B11	77495.46474	28977.7598	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300570	252	57.72381633606272	4.052961902928049	Caecum right	Positive	MSEB0006	G121eI101B	B11	74950.84104	28473.11156	5000	Success	2	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300571	251	56.66174430596065	4.017740147639605	Caecum right	Positive	MSEB0006	G121eI101B	B11	75619.94598	28632.39788	5000	Success	2	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300572	249	56.949761537082026	4.191364144443384	Caecum right	Positive	MSEB0006	G121eI101B	B11	76345.93288	29031.8104	5000	Success	4	13	G121e	ULV2_Full	Plate96_Covaris_520272
M300573	178	34.56444236486824	3.5986335697109446	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	74609.41112	34469.3869	5000	Success	1	13	G121e	ULV2_Full	Plate96_Covaris_520272
