first	second	richness	neutral	phylogenetic
M300801	M300803	0.08724832214765099	0.027700382326193873	0.008901395300814463
M300801	M300804	0.4054054054054055	0.12433585391464796	0.04484221881561845
M300801	M300806	0.0748299319727892	0.03050843423048577	0.011974606897947604
M300801	M300807	0.4579439252336448	0.13120579187665693	0.03097825308350055
M300801	M300808	0.08843537414965996	0.03760322126155358	0.013258925167760505
M300801	M300809	0.08235294117647052	0.020302721034441307	0.006084451328315144
M300801	M300810	0.10344827586206895	0.03503638857076685	0.008563234028049482
M300801	M300811	0.05882352941176472	0.026422444639079834	0.010592270858627573
M300801	M300814	0.0738255033557047	0.02724306227803719	0.005907214770880742
M300801	M300815	0.09722222222222232	0.029520526029255922	0.005061244582673652
M300801	M300816	0.05521472392638027	0.027440631296787088	0.00460943314482376
M300801	M300818	0.09459459459459452	0.030829586275438525	0.009119379108912473
M300801	M300819	0.09859154929577474	0.03882759639471722	0.013108976669198524
M300801	M300820	0.09090909090909083	0.025798808190312772	0.005583736398407146
M300801	M300821	0.47169811320754707	0.1283247156481211	0.029403724334268633
M300801	M300822	0.08333333333333326	0.023703448601414046	0.005426230378656638
M300801	M300824	0.08333333333333326	0.05272515420653967	0.009450037318720517
M300801	M300825	0.06666666666666665	0.023962223547103423	0.008338414110161674
M300801	M300827	0.368421052631579	0.10827443862976394	0.02984361742794195
M300801	M300828	0.054054054054053946	0.017777937786740527	0.003992461422587912
M300801	M300829	0.11724137931034484	0.031786245061954155	0.006147917912554868
M300801	M300831	0.08000000000000007	0.023598073524805696	0.004852839977530055
M300801	M300833	0.09859154929577474	0.032957635859450884	0.008571920756689222
M300801	M300834	0.09090909090909083	0.027686381114826242	0.007733025974148933
M300801	M300835	0.05333333333333323	0.022810924633675178	0.009481402697434027
M300801	M300836	0.05660377358490565	0.022108870573671502	0.005221265291358135
M300801	M300837	0.1020408163265305	0.032677942866284115	0.008632679165101242
M300801	M300839	0.49056603773584895	0.1629544613994297	0.03808981068718875
M300801	M300840	0.1729323308270676	0.04627717015599997	0.010085634076537064
M300801	M300886	0.06849315068493156	0.02437260444365341	0.006622930158817653
M300801	M301037	0.07586206896551717	0.021510664197048612	0.00436515850417829
M300801	M301038	0.09826589595375723	0.01848230471987833	0.002985614890773869
