microsample	total_sequences	total_trimmed_sequences	percent_gc	percent_unique	reads_mapped_host_percent	reads_mapped_human_percent	reads_mapped_bacteria	reads_mapped_bacteria_percent	reads_mapped_other_percent	quality
M300554	58206558	55131372	52	44.86327954248341	0.02	0.04	46905616	85.13640758881505	14.863592411184953	5
M300555	6953168	875760	74	9.05078646181353	0.03	2.56	536679	62.932287977785805	37.067712022214195	1
M300556	4510494	1433242	69	13.908564998086362	0.03	2.18	1057800	75.50084080157369	24.499159198426312	2
M300557	41042748	35099682	56.5	27.432371460544168	0.02	0.56	29359169	84.14210341265499	15.85789658734501	4
M300558	3689064	148112	77	10.408677678710394	1.16	29.88	5630	5.569074326864107	94.43092567313589	0
M300559	45343430	43413546	52.5	72.86736721764667	0	0.01	37507269	86.40953240031276	13.590467599687244	5
M300560	42538238	40291514	52	61.38867977802657	1.77	0.04	33831862	85.53920817555087	14.460791824449132	5
M300561	47322288	45468196	52	58.387211806174406	0.02	2.27	38118375	85.80975876840007	14.190241231599927	5
M300562	46776708	45532388	51.5	58.00807578832784	0.01	0.02	39086650	85.86835483660636	14.131645163393642	5
M300563	49151014	46637910	52	73.47345291653642	0.06	0	40066997	85.96901725049233	14.030982749507672	5
M300564	3530170	2889258	55.5	25.702266300487377	0.01	0.62	2390541	83.28174981692614	16.718250183073863	3
M300565	3091984	69352	77	8.350384408608415	1.1	20.17	800	1.4725371815638344	98.52746281843616	0
M300566	37295718	34699290	53	57.67282875733522	0	0.68	29756866	86.35536188042353	13.64463811957647	5
M300567	42354370	40155832	52	52.98696696754561	0.06	2.76	32894344	84.32807322801638	15.671926771983621	5
M300568	3122782	1296578	64	20.206794631443387	0.87	4.44	1896	0.1727742107152816	99.827225789284725	1
M300569	36471496	34568238	52	62.920718833286486	0.03	0.05	29832437	86.3684114652213	13.6315885347787	5
M300570	47887038	46393578	52	50.202154011968574	0.03	0.04	39739517	85.72844565665163	14.27155434334837	5
M300571	48127476	46487192	52	39.54874214863486	0	0.03	39642508	85.31425272950676	14.685747270493238	5
M300572	17762784	11546746	59.5	25.372100446640452	0.02	0.07	9788046	84.86799049011294	15.132009509887055	4
M300573	987916	395768	67	23.444074442923473	0.62	38.72	21331	8.962002554450121	91.03799744554988	0
M300574	38821918	37255948	51	53.57065598730186	0.01	0.06	32033639	86.04570535925144	13.954294640748557	5
M300575	14669330	29796	77	6.16869771086169	2.65	25.39	1247	6.12896883908385	93.87103116091615	1
M300576	40859688	39143594	52	41.279926931304814	0	0.06	33648440	86.01875106537821	13.981248934621789	5
M300577	46062590	43726358	52	57.61776546401492	0.68	0.04	37028197	85.30568938094035	14.69431061905965	5
M300578	54403128	52777180	52	47.98940352632741	0.25	0.05	45375648	86.23875975781196	13.761240242188038	5
M300579	4805708	592876	74.5	9.603594870418982	0.18	5.29	211389	37.77447784877986	62.22552215122014	0
M300580	48883918	45201552	54	51.469678632453594	0.28	1.88	38153763	86.29074766283698	13.709252337163022	5
M300581	42496670	39865840	53	27.633316604548348	0.02	0.21	34260534	86.1593217450768	13.840678254923205	4
M300582	17004980	11053672	61.5	54.3109872578733	0.06	0.03	9341265	84.67382060536664	15.326179394633357	4
M300583	44142262	42459184	52	50.64900888828524	0.01	0.02	36430399	85.83168983429364	14.168310165706359	5
M300584	44002346	42854486	51.5	62.11560993333252	0.01	0.03	37119029	86.6489864184432	13.3510135815568	5
M300585	1941852	994076	61	24.321835545906996	3.37	76.08	2639	1.1718368398149217	98.82816316018508	0
M300586	346456	166470	67.5	33.56097166739788	0.03	11.14	831	0.5626802811370069	99.437319718863	0
M300587	434392	91978	72.5	29.61840917880624	0.03	10.37	521	0.6331421349406962	99.3668578650593	0
M300588	100750630	97851774	52	25.153147869935403	0.09	0.08	83905299	85.90242735304548	14.097572646954518	4
M300589	55023522	52091584	52	49.15953636687635	0.01	0.07	44867227	86.20690867628268	13.79309132371732	5
M300590	43731716	42410712	51	43.298237790543666	0	0.07	36126274	85.24930193607847	14.750698063921533	5
M300591	490120	228580	68.5	30.034073288174326	0.02	5.51	45415	21.04358382681383	78.95641617318617	0
M300592	48707620	46772872	51.5	62.626372413895076	0.01	0.02	40401228	86.40493837975305	13.595061620246952	5
M300593	45125458	43526312	51.5	50.034922460017924	0.01	0.03	37141417	85.37254292070715	14.627457079292853	5
M300594	52001076	49488626	52	42.46790342119618	0.01	0.29	42143289	85.42135976218798	14.578640237812024	5
M300595	54883926	52968572	51	52.317615099562786	0.03	0.02	45420140	85.79530987085032	14.204690129149682	5
M300596	52777964	50936014	51.5	50.530618078097476	0.01	0.01	43957194	86.32182965887701	13.678170341122993	5
M300597	59786184	58024204	51.5	37.99564749788952	0.01	0.05	50052381	86.31911581697975	13.680884183020254	5
M300598	51932876	50385028	51.5	49.36234917868987	0	0.02	43457383	86.27940103956857	13.720598960431431	5
M300599	49738156	48154838	52	65.02149237443214	0	0.01	41800588	86.81661332573898	13.183386674261016	5
M300600	848944	150618	72.5	22.209019034580784	0.13	34.24	939	0.9544040818815686	99.04559591811844	0
M300601	7162768	4153800	68.5	25.439188031199585	0.12	1.34	2501	0.06111994416359519	99.9388800558364	1
M300602	14329858	12961166	47	18.73775206916224	34.97	0.43	4629804	55.38396830610951	44.61603169389049	3
M300603	4827904	2577876	59.5	15.288135845832809	61.19	1.65	529136	54.402822873334664	45.597177126665336	2
M300604	10752892	298050	77	5.609490705909797	0.3	28.67	1405	0.6670528134910838	99.33294718650892	1
M300605	1912394	982374	61.5	16.773832433507692	7.58	19.51	280514	38.59523121586109	61.40476878413891	0
M300606	1311520	1051676	58.5	20.689250180871042	0.25	6.52	561493	57.303741169602816	42.696258830397184	1
M300607	880198	231418	71	20.635987464756326	0.05	8.97	1455	0.6920727936909598	99.30792720630905	0
M300608	2422996	1947440	46.5	19.62087631483876	7.57	2.1	1238892	70.38759161411284	29.612408385887164	2
M300609	8833250	6406798	49.5	16.500630285230113	0.5	3.71	4281270	69.7710233676631	30.228976632336895	2
M300610	9427188	4551766	58.5	12.78424044177053	8.52	1.01	3126441	75.94100366923541	24.058996330764586	3
M300611	5914334	267318	75.5	7.0249734408248505	4.68	9.43	86485	37.67424638438752	62.32575361561248	0
M300612	8375058	5635824	54.5	15.416828259435434	3.03	1.49	3321696	61.72598069111923	38.27401930888077	2
M300613	4225568	396986	74	8.939367844571237	3.57	7.97	91796	26.100060277275468	73.89993972272453	0
M300614	4655762	175552	76	7.408195585380045	0.22	21.09	1821	1.3205029658743166	98.67949703412569	0
M300615	43791720	48904	77	3.7927743292225022	2.29	18.69	651	1.7365556978233034	98.2634443021767	1
M300616	5358532	2330802	61.5	14.283742720583614	0.99	7.01	1361655	63.531955992273446	36.468044007726554	0
M300617	6526366	3269466	59.5	15.491316452799985	37.27	2.61	1386325	69.7141084167343	30.285891583265695	2
M300618	11345618	151344	77.5	6.312623040083967	0.29	10.5	1351	1.0079231262776227	98.99207687372238	1
M300619	6064888	2877266	59	13.581525289138781	5.1	1.28	1948674	72.33347710887917	27.666522891120835	2
M300620	637182	564126	55	22.171059446123714	0.72	45.25	1677	0.5500633048406883	99.44993669515931	1
M300621	26829492	97236	76	5.387125986872672	1.19	7.64	2767	3.1901401955358786	96.80985980446412	1
M300622	5652052	4926106	53	18.96727938907143	4.32	2.86	551622	12.05808635571335	87.94191364428664	2
M300623	3513174	2420780	54.5	17.376784367705557	44.43	1.68	856338	65.25245628820448	34.747543711795515	2
M300624	2649582	1614384	62	16.01219946433879	0.81	24.75	276621	23.02492596125514	76.97507403874486	0
M300625	1105798	910214	57.5	21.26659057244866	0.84	23.83	50904	7.428854966288199	92.5711450337118	1
M300626	2704082	580236	73	12.657026411337327	0.03	37.42	1483	0.4107214073647361	99.58927859263527	0
M300627	3256580	1261562	65	14.96293888876637	25.89	6.64	465136	53.54342310649839	46.45657689350161	0
M300628	3991964	3618410	45.5	18.086542436014515	23.33	2.65	2039522	75.74893889490566	24.251061105094337	3
M300629	13639050	12983946	46	19.895469776158148	81.11	1.39	1478964	63.39551016839011	36.60448983160989	3
M300630	48206734	45865964	44.5	53.068236530602704	95.02	0.37	721913	37.58385802626606	62.41614197373394	4
M300631	8350980	7365776	52.5	19.831191358153063	11.08	1.48	1916508	29.73498812156959	70.26501187843041	2
M300632	857768	251366	71	21.61775694690011	0.21	11.82	10253	4.658083157665189	95.34191684233481	0
M300633	7846360	7013928	43.5	19.221317520466513	15.24	1.85	4655035	79.9326853368326	20.067314663167394	3
M300634	9650450	6663142	50.5	16.623404438796474	0.52	1.07	5001040	76.2828798547388	23.717120145261205	3
M300635	582122	243238	68.5	26.758604787452658	0.73	10.22	1531	0.7070156642529924	99.29298433574701	0
M300636	4403574	4069462	46	18.495713465833013	1.32	4.43	2161574	56.594210753134114	43.405789246865886	2
M300637	1607570	1456382	49.5	21.641061241938214	0.39	79.45	26185	8.955443377383785	91.04455662261621	1
M300638	2814026	2617896	41	29.556551100758803	0.44	0.92	1968174	76.38203162899	23.617968371009994	3
M300639	12421758	12245838	38	33.68748483824038	0.18	0.11	10552329	86.42439706284148	13.575602937158521	4
M300640	973024	878404	40.5	64.73611993544176	0.31	0.39	763582	87.54826963117874	12.45173036882126	4
M300641	1360718	955888	62	21.38322323533034	0.3	21.26	4251	0.5681863747544007	99.4318136252456	0
M300642	19019236	51972	77	5.550798744657451	2.9	2.01	15425	32.22134024064171	67.77865975935829	2
M300643	338004	225602	63.5	29.54314150128401	0.06	13.03	1152	0.5886561062851303	99.41134389371487	0
M300644	59871342	57772116	41	16.353281667118644	39.57	0.25	29722777	85.79585715158274	14.204142848417263	4
M300645	16260754	7864894	58	12.647816642935245	2.98	0.62	6575782	86.76160798233255	13.23839201766745	4
M300646	460504	382502	60.5	23.94593749457117	0.18	14.85	1902	0.5859952676722864	99.41400473232771	0
M300647	13995666	13331110	41.5	18.958480140538036	10.77	0.37	8963213	75.71051144052149	24.289488559478514	4
M300648	20482600	20007118	38.5	15.762409214607029	3.89	0.86	16450627	86.33815576971968	13.661844230280323	4
M300649	1312614	226262	74	17.707329419401805	1.69	13.65	13046	6.834159271637663	93.16584072836234	0
M300650	3722720	1591598	66.5	26.510567368152635	0.22	38.66	3407	0.34542275404898015	99.65457724595102	0
M300651	48310662	45022880	52	60.00035371111838	0.03	0.51	38226879	85.42737239977217	14.572627600227833	5
M300652	55954228	46030306	53.75	56.19073506340723	0.005	0.025	39529459	85.94518306619163	14.054816933808368	5
M300653	2095770	252058	72	12.474123050019164	0.05	6.525	130608	55.364546417180854	44.635453582819146	0
M300654	46043684	39760652	54	59.70717695576455	0.09	0.225	33827470	85.25740109257416	14.742598907425844	5
M300655	3081280	146566	74.75	10.382695859159497	0.07	13.995000000000001	2468	1.962040032711431	98.03795996728857	0
M300656	2437718	1793208	56.25	34.115952633845005	0.05	1.245	1448435	81.90382974889228	18.096170251107722	3
M300657	18083628	12335018	55.75	34.957401671456566	0.01	0.28500000000000003	10134765	82.44395065969482	17.55604934030518	4
M300658	44361260	40473142	52.5	55.08775811910549	0.005	0.215	34684040	85.9381290568063	14.061870943193696	5
M300659	82444742	78077054	51	71.23352616841011	0	0.31	66657245	85.71468417946289	14.285315820537107	5
M300660	1426996	388454	69.75	21.73403402093592	0.16999999999999998	21.255000000000003	10291	3.2346982297821105	96.76530177021789	0
M300661	49054744	47187616	50.75	62.89424657943126	0.005	0.15	39723568	84.38651415912128	15.613485840878724	5
M300662	61759364	57615174	52.75	61.951766375667916	10.969999999999999	0.265	44016940	86.18127402436451	13.818725975635488	5
M300663	4536478	1963362	69	29.535102480045815	0.245	9.385	6433	0.36550584589719415	99.63449415410281	0
